simplified	KN	example_KN
胸怀	ವಿಶಾಲ ಮನಸ್ಸು	ಅವನಿಗೆ ವಿಶಾಲ ಮನಸ್ಸು ಇದೆ.
胸膛	ಎದೆ	ಸೈನಿಕನು ಎದೆ ಬೀಗಿಸಿ ನಿಂತನು.
雄厚	ಬಲಿಷ್ಠ	ಕಂಪನಿಗೆ ಬಲಿಷ್ಠ ಹಣಕಾಸು ಸಂಪನ್ಮೂಲಗಳಿವೆ.
雄伟	ಭವ್ಯ	ಈ ಸೇತುವೆ ಬಹಳ ಭವ್ಯವಾಗಿದೆ.
修复	ದುರಸ್ತಿ	ಇಂಜಿನಿಯರ್‌ಗಳು ವ್ಯವಸ್ಥೆಯನ್ನು ದುರಸ್ತಿ ಮಾಡುತ್ತಿದ್ದಾರೆ.
修建	ನಿರ್ಮಿಸುವುದು	ಸರ್ಕಾರ ಹೊಸ ವಿಮಾನ ನಿಲ್ದಾಣ ನಿರ್ಮಿಸಲು ಯೋಜಿಸಿದೆ.
修养	ಸಂಸ್ಕಾರ	ಉತ್ತಮ ಸಂಸ್ಕಾರ ವಿವರಗಳಲ್ಲಿ ಕಾಣಿಸುತ್ತದೆ.
羞耻	ಲಜ್ಜೆ	ಸುಳ್ಳು ಹೇಳಿದ ನಂತರ ಅವನಿಗೆ ಲಜ್ಜೆ ಆಯಿತು.
嗅觉	ಘ್ರಾಣಶಕ್ತಿ	ನಾಯಿಯ ಘ್ರಾಣಶಕ್ತಿ ಬಹಳ ತೀಕ್ಷ್ಣವಾಗಿದೆ.
绣	ಕಸೂತಿ ಮಾಡುವುದು	ಅಜ್ಜಿ ಹೂಗಳ ಕಸೂತಿ ಮಾಡಬಲ್ಲರು.
虚假	ಸುಳ್ಳು	ಜಾಲತಾಣ ಸುಳ್ಳು ಮಾಹಿತಿಯನ್ನು ಪ್ರಕಟಿಸಿತು.
虚荣	ಆಡಂಬರಾಸಕ್ತಿ	ಆಡಂಬರಾಸಕ್ತಿಯಿಂದ ಅವನು ಅತಿಯಾಗಿ ಹಣ ಖರ್ಚುಮಾಡಿದನು.
虚伪	ಕಪಟ	ಅವಳು ಕಪಟ ಸೌಜನ್ಯವನ್ನು ಇಷ್ಟಪಡುವುದಿಲ್ಲ.
需求	ಬೇಡಿಕೆ	ಮಾರುಕಟ್ಟೆ ಬೇಡಿಕೆ ಹೆಚ್ಚುತ್ತಿದೆ.
须知	ಗಮನಿಸಬೇಕಾದ ನಿಯಮಗಳು	ದಯವಿಟ್ಟು ಮೊದಲು ನೋಂದಣಿಯ ಗಮನಿಸಬೇಕಾದ ನಿಯಮಗಳನ್ನು ಓದಿ.
许可	ಅನುಮತಿ	ಅನುಮತಿಯಿಲ್ಲದೆ ಒಳಗೆ ಹೋಗಲು ಸಾಧ್ಯವಿಲ್ಲ.
序言	ಮುನ್ನುಡಿ	ಲೇಖಕ ಮುನ್ನುಡಿಯಲ್ಲಿ ಹಿನ್ನೆಲೆಯನ್ನು ವಿವರಿಸುತ್ತಾನೆ.
畜牧	ಪಶುಸಂಗೋಪನೆ	ಹುಲ್ಲುಗಾವಲು ಪಶುಸಂಗೋಪನೆ ಅಭಿವೃದ್ಧಿಗೆ ಸೂಕ್ತವಾಗಿದೆ.
酗酒	ಅತಿಯಾಗಿ ಮದ್ಯಪಾನ	ದೀರ್ಘಕಾಲ ಅತಿಯಾಗಿ ಮದ್ಯಪಾನ ಆರೋಗ್ಯಕ್ಕೆ ಹಾನಿ ಮಾಡುತ್ತದೆ.
喧哗	ಗದ್ದಲ	ಗ್ರಂಥಾಲಯದಲ್ಲಿ ಗದ್ದಲ ಮಾಡುವುದು ನಿಷೇಧ.
宣誓	ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸುವುದು	ಹೊಸ ಸದಸ್ಯರು ಸಭೆಯಲ್ಲಿ ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸಿದರು.
宣扬	ಪ್ರಚಾರ ಮಾಡುವುದು	ಶಾಲೆ ಪ್ರಾಮಾಣಿಕತೆ ಮತ್ತು ವಿಶ್ವಾಸಾರ್ಹತೆಯನ್ನು ಪ್ರಚಾರ ಮಾಡುತ್ತದೆ.
悬挂	ತೂಗಿರುವುದು	ಗೋಡೆಯ ಮೇಲೆ ಒಂದು ಚಿತ್ರ ತೂಗಿದೆ.
悬念	ಕುತೂಹಲ	ಚಿತ್ರದ ಅಂತ್ಯ ಕುತೂಹಲ ಬಿಟ್ಟುಹೋಗುತ್ತದೆ.
悬殊	ದೊಡ್ಡ ಅಂತರ	ಎರಡು ತಂಡಗಳ ಶಕ್ತಿಯಲ್ಲಿ ದೊಡ್ಡ ಅಂತರ ಇದೆ.
悬崖峭壁	ಕಡಿದಾದ ಬಂಡೆಕಡೆ	ಬೆಟ್ಟದ ರಸ್ತೆಯ ಪಕ್ಕದಲ್ಲಿ ಕಡಿದಾದ ಬಂಡೆಕಡೆಗಳಿವೆ.
旋律	ರಾಗ	ಈ ಹಾಡಿನ ರಾಗ ಸುಂದರವಾಗಿದೆ.
旋转	ತಿರುಗುವುದು	ಗಾಳಿಚಕ್ರ ಗಾಳಿಯಲ್ಲಿ ತಿರುಗುತ್ತದೆ.
选拔	ಆಯ್ಕೆಮಾಡುವುದು	ಶಾಲೆ ಕ್ರೀಡಾಪಟುಗಳನ್ನು ಆಯ್ಕೆಮಾಡುತ್ತಿದೆ.
选举	ಚುನಾವಣೆ	ಗ್ರಾಮದಲ್ಲಿ ಚುನಾವಣೆ ನಡೆಯಿತು.
选手	ಸ್ಪರ್ಧಿ	ಈ ಸ್ಪರ್ಧಿಯ ಪ್ರದರ್ಶನ ಸ್ಥಿರವಾಗಿತ್ತು.
炫耀	ತೋರಾಟ ಮಾಡುವುದು	ಅವನು ಸದಾ ತನ್ನ ಸಂಪತ್ತಿನ ತೋರಾಟ ಮಾಡಲು ಇಷ್ಟಪಡುತ್ತಾನೆ.
削	ಕಡಿತ ಮಾಡುವುದು	ಕಂಪನಿ ಕೆಲವು ವೆಚ್ಚಗಳನ್ನು ಕಡಿತಮಾಡಿತು.
削弱	ದುರ್ಬಲಗೊಳಿಸುವುದು	ದಣಿವು ತೀರ್ಮಾನಶಕ್ತಿಯನ್ನು ದುರ್ಬಲಗೊಳಿಸುತ್ತದೆ.
学说	ಸಿದ್ಧಾಂತ	ಈ ಸಿದ್ಧಾಂತಕ್ಕೆ ದೊಡ್ಡ ಪ್ರಭಾವ ಇದೆ.
学位	ಶೈಕ್ಷಣಿಕ ಪದವಿ	ಅವಳು ಸ್ನಾತಕೋತ್ತರ ಶೈಕ್ಷಣಿಕ ಪದವಿ ಪಡೆದಳು.
雪上加霜	ಕಷ್ಟದ ಮೇಲೆ ಕಷ್ಟ	ಕೆಲಸ ಕಳೆದು ನಂತರ ಅಸ್ವಸ್ಥರಾದದ್ದು ನಿಜಕ್ಕೂ ಕಷ್ಟದ ಮೇಲೆ ಕಷ್ಟವಾಯಿತು.
血压	ರಕ್ತದೊತ್ತಡ	ವೈದ್ಯರು ಅವನಿಗೆ ರಕ್ತದೊತ್ತಡ ನಿಯಂತ್ರಿಸಲು ನೆನಪಿಸಿದರು.
熏陶	ಪ್ರಭಾವದಲ್ಲಿ ಬೆಳೆಸುವುದು	ಅವಳು ಬಾಲ್ಯದಿಂದಲೇ ಸಂಗೀತದ ಪ್ರಭಾವದಲ್ಲಿ ಬೆಳೆದಳು.
寻觅	ಹುಡುಕುವುದು	ಅವರು ಸೂಕ್ತ ವಾಸಸ್ಥಳವನ್ನು ಎಲ್ಲೆಡೆ ಹುಡುಕಿದರು.
巡逻	ಗಸ್ತು ತಿರುಗುವುದು	ಪೊಲೀಸರು ರಾತ್ರಿ ಬೀದಿಗಳಲ್ಲಿ ಗಸ್ತು ತಿರುಗುತ್ತಾರೆ.
循环	ಚಕ್ರವಾಗಿ ಹರಿಯುವುದು	ನೀರು ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಚಕ್ರವಾಗಿ ಹರಿಯುತ್ತದೆ.
循序渐进	ಹಂತ ಹಂತವಾಗಿ ಮುಂದುವರಿಯುವುದು	ಭಾಷಾ ಅಧ್ಯಯನ ಹಂತ ಹಂತವಾಗಿ ಮುಂದುವರಿಯಬೇಕು.
压迫	ದಮನ ಮಾಡುವುದು	ಹಳೆಯ ವ್ಯವಸ್ಥೆ ಸಾಮಾನ್ಯ ಜನರನ್ನು ದಮನ ಮಾಡಿತು.
压岁钱	ಹೊಸ ವರ್ಷದ ಉಡುಗೊರೆ ಹಣ	ಮಗುವಿಗೆ ಹೊಸ ವರ್ಷದ ಉಡುಗೊರೆ ಹಣ ಸಿಕ್ಕಿತು.
压缩	ಸಂಕುಚಿತಗೊಳಿಸುವುದು	ಸಾಫ್ಟ್‌ವೇರ್ ಚಿತ್ರದ ಗಾತ್ರವನ್ನು ಸಂಕುಚಿತಗೊಳಿಸಬಹುದು.
压抑	ಒತ್ತಿಹಿಡಿಯುವುದು	ಅವನು ಒಳಗಿನ ಕೋಪವನ್ನು ಒತ್ತಿಹಿಡಿಯಲು ಪ್ರಯತ್ನಿಸಿದನು.
压榨	ಪಿಂಡಿಸುವುದು	ಯಂತ್ರ ಕಬ್ಬಿನ ರಸವನ್ನು ಪಿಂಡಿಸುತ್ತಿದೆ.
压制	ನಿಗ್ರಹಿಸುವುದು	ಔಷಧಿ ನೋವನ್ನು ನಿಗ್ರಹಿಸಬಹುದು.
鸦雀无声	ಪೂರ್ಣ ಮೌನ	ಶಿಕ್ಷಕರು ಒಳಬಂದ ನಂತರ ತರಗತಿ ಪೂರ್ಣ ಮೌನವಾಗಿತ್ತು.
亚军	ದ್ವಿತೀಯ ಸ್ಥಾನ	ಅವಳು ಸ್ಪರ್ಧೆಯಲ್ಲಿ ದ್ವಿತೀಯ ಸ್ಥಾನ ಪಡೆದಳು.
淹没	ಮುಳುಗಿಸುವುದು	ಪ್ರವಾಹ ತಳಭಾಗದ ಹಳ್ಳಿಯನ್ನು ಮುಳುಗಿಸಿತು.
烟花爆竹	ಪಟಾಕಿ	ರಜಾದಿನಗಳಲ್ಲಿ ಪಟಾಕಿ ಸಿಡಿಸುವುದು ನಿಷೇಧಿಸಲಾಗಿದೆ.
严峻	ಗಂಭೀರ	ಉದ್ಯೋಗ ಪರಿಸ್ಥಿತಿ ಇನ್ನೂ ಗಂಭೀರವಾಗಿದೆ.
严寒	ಕಡು ಚಳಿ	ಕಡು ಚಳಿ ಸಂಚಾರಕ್ಕೆ ಪರಿಣಾಮ ಬೀರುತ್ತದೆ.
严禁	ಕಟ್ಟುನಿಟ್ಟಾಗಿ ನಿಷೇಧಿಸುವುದು	ಇಲ್ಲಿ ಧೂಮಪಾನ ಕಟ್ಟುನಿಟ್ಟಾಗಿ ನಿಷೇಧಿಸಲಾಗಿದೆ.
严厉	ಕಠಿಣ	ಶಿಕ್ಷಕರು ಅವನನ್ನು ಕಠಿಣವಾಗಿ ಟೀಕಿಸಿದರು.
严密	ಬಿಗಿಯಾದ	ಗೋದಾಮಿನಲ್ಲಿ ಬಿಗಿಯಾದ ಮೇಲ್ವಿಚಾರಣೆ ಇದೆ.
岩石	ಬಂಡೆ	ಸಮುದ್ರತೀರದ ಬಂಡೆಗಳು ತುಂಬ ಗಟ್ಟಿಯಾಗಿವೆ.
延期	ಮುಂದೂಡುವುದು	ಸಭೆಯನ್ನು ಮುಂದಿನ ವಾರಕ್ಕೆ ಮುಂದೂಡಲಾಯಿತು.
延伸	ವಿಸ್ತರಿಸುವುದು	ರಸ್ತೆ ಉತ್ತರದ ಕಡೆಗೆ ವಿಸ್ತರಿಸುತ್ತದೆ.
延续	ಮುಂದುವರಿಯುವುದು	ಈ ಪರಂಪರೆ ನೂರು ವರ್ಷಗಳಿಂದ ಮುಂದುವರಿದಿದೆ.
沿海	ಕರಾವಳಿ	ಕರಾವಳಿ ನಗರಗಳು ವ್ಯಾಪಾರವನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸಿವೆ.
炎热	ತೀವ್ರ ಬಿಸಿಯ	ತೀವ್ರ ಬಿಸಿಯ ಹವಾಮಾನ ಜನರನ್ನು ದಣಗಿಸುತ್ತದೆ.
言论	ಅಭಿಪ್ರಾಯ ಹೇಳಿಕೆ	ಜನರು ಅವನ ಅಭಿಪ್ರಾಯ ಹೇಳಿಕೆಗಳಿಗೆ ಗಮನ ಕೊಡುತ್ತಾರೆ.
掩盖	ಮುಚ್ಚಿಡುವುದು	ಅವನು ತಪ್ಪನ್ನು ಮುಚ್ಚಿಡಲು ಪ್ರಯತ್ನಿಸಿದನು.
掩护	ಆವರಣೆ ನೀಡುವುದು	ಸಹ ಆಟಗಾರರು ಹಿಂತೆಗೆದುಕೊಳ್ಳಲು ಆವರಣೆ ನೀಡುವ ಜವಾಬ್ದಾರರಾಗಿದ್ದರು.
掩饰	ಮರೆಮಾಚುವುದು	ಅವಳು ತನ್ನ ಆತಂಕವನ್ನು ಮರೆಮಾಚಲು ಪ್ರಯತ್ನಿಸಿದಳು.
演变	ರೂಪಾಂತರಗೊಳ್ಳುವುದು	ನಗರದ ವಿನ್ಯಾಸ ನಿರಂತರವಾಗಿ ರೂಪಾಂತರಗೊಳ್ಳುತ್ತಿದೆ.
演习	ಅಭ್ಯಾಸ	ಶಾಲೆ ಅಗ್ನಿ ಸುರಕ್ಷತಾ ಅಭ್ಯಾಸ ನಡೆಸಿತು.
演绎	ನಿಗಮನದಿಂದ ವಿವರಿಸುವುದು	ಶಿಕ್ಷಕರು ಈ ಸಿದ್ಧಾಂತವನ್ನು ನಿಗಮನದಿಂದ ವಿವರಿಸಿದರು.
演奏	ವಾದ್ಯ ವಾದಿಸುವುದು	ವಾದ್ಯವೃಂದ ಶಾಸ್ತ್ರೀಯ ಸಂಗೀತ ವಾದಿಸುತ್ತಿದೆ.
眼光	ದೃಷ್ಟಿ	ಅವನಿಗೆ ಹೂಡಿಕೆಯಲ್ಲಿ ಒಳ್ಳೆಯ ದೃಷ್ಟಿ ಇದೆ.
眼色	ಕಣ್ಣಿನ ಸಂಕೇತ	ಅವಳು ಸಹೋದ್ಯೋಗಿಗೆ ಕಣ್ಣಿನ ಸಂಕೇತ ನೀಡಿದಳು.
眼神	ಕಣ್ಣಿನ ಭಾವ	ಅವನ ಕಣ್ಣಿನ ಭಾವ ತುಂಬ ದೃಢವಾಗಿತ್ತು.
厌恶	ಅಸಹ್ಯಪಡುವುದು	ಅವನು ಮೋಸದ ವರ್ತನೆಯನ್ನು ಅಸಹ್ಯಪಡುತ್ತಾನೆ.
验收	ಸ್ವೀಕೃತಿ ಪರಿಶೀಲನೆ	ಯೋಜನೆ ಮುಗಿದ ನಂತರ ಸ್ವೀಕೃತಿ ಪರಿಶೀಲನೆ ಬೇಕು.
验证	ಪರಿಶೀಲಿಸಿ ದೃಢಪಡಿಸುವುದು	ಪ್ರಯೋಗ ಊಹೆಯನ್ನು ಪರಿಶೀಲಿಸಿ ದೃಢಪಡಿಸಿತು.
氧气	ಆಮ್ಲಜನಕ	ರೋಗಿಗೆ ಆಮ್ಲಜನಕ ಉಸಿರಾಡಬೇಕು.
样品	ಮಾದರಿ	ಗ್ರಾಹಕ ಉತ್ಪನ್ನದ ಮಾದರಿಗಳನ್ನು ಪಡೆದನು.
摇摆	ಆಲುಗಾಡುವುದು	ಸಣ್ಣ ದೋಣಿ ಗಾಳಿ ಅಲೆಗಳಲ್ಲಿ ಆಲುಗಾಡಿತು.
摇滚	ರಾಕ್ ಸಂಗೀತ	ಯುವಕರು ರಾಕ್ ಸಂಗೀತವನ್ನು ಇಷ್ಟಪಡುತ್ತಾರೆ.
谣言	ವದಂತಿ	ಪರಿಶೀಲಿಸದ ವದಂತಿಗಳನ್ನು ಹರಡಬೇಡಿ.
遥控	ದೂರನಿಯಂತ್ರಣ	ಅವನು ಫೋನ್ ಬಳಸಿ ಏರ್‌ಕಂಡಿಷನರ್ ಅನ್ನು ದೂರನಿಯಂತ್ರಣ ಮಾಡಿದನು.
遥远	ದೂರದ	ಆ ಹಳ್ಳಿ ನಗರದಿಂದ ತುಂಬ ದೂರದಲ್ಲಿದೆ.
耀眼	ಕಣ್ಣು ಕುಕ್ಕುವ	ಸೂರ್ಯನ ಬೆಳಕು ಕಣ್ಣು ಕುಕ್ಕುವಂತಿತ್ತು.
要点	ಮುಖ್ಯ ಅಂಶ	ದಯವಿಟ್ಟು ಸಭೆಯ ಮುಖ್ಯ ಅಂಶಗಳನ್ನು ದಾಖಲಿಸಿ.
要命	ಪ್ರಾಣಾಪಾಯಕರ	ಈ ಬೆಟ್ಟದ ರಸ್ತೆ ತುಂಬ ಪ್ರಾಣಾಪಾಯಕರವಾಗಿದೆ.
要素	ಮುಖ್ಯ ಅಂಶ	ವಿಶ್ವಾಸ ಸಹಕಾರದ ಪ್ರಮುಖ ಅಂಶ.
野蛮	ಕ್ರೂರ	ಅವನು ಕ್ರೂರ ಕಾನೂನು ಜಾರಿಯನ್ನು ವಿರೋಧಿಸುತ್ತಾನೆ.
野心	ಮಹತ್ವಾಕಾಂಕ್ಷೆ	ಅವನ ರಾಜಕೀಯ ಮಹತ್ವಾಕಾಂಕ್ಷೆ ಸ್ಪಷ್ಟವಾಗಿದೆ.
液体	ದ್ರವ	ಈ ದ್ರವಕ್ಕೆ ಬಣ್ಣ ಇಲ್ಲ.
一流	ಅತ್ಯುತ್ತಮ	ಈ ಆಸ್ಪತ್ರೆಗೆ ಅತ್ಯುತ್ತಮ ಉಪಕರಣಗಳಿವೆ.
一如既往	ಎಂದಿನಂತೆ	ಅವನು ಎಂದಿನಂತೆ ನಮಗೆ ಬೆಂಬಲ ನೀಡುತ್ತಾನೆ.
依旧	ಇನ್ನೂ ಹಾಗೆಯೇ	ಮಳೆ ನಿಂತರೂ ರಸ್ತೆ ಇನ್ನೂ ಹಾಗೆಯೇ ತೇವವಾಗಿತ್ತು.
依据	ಆಧಾರ	ತೀರ್ಪು ಕಾನೂನಿನ ಆಧಾರದ ಮೇಲೆ ಇರಬೇಕು.
依靠	ಅವಲಂಬಿಸುವುದು	ಅವರು ಬದುಕಿಗಾಗಿ ಕೃಷಿಯನ್ನು ಅವಲಂಬಿಸುತ್ತಾರೆ.
依赖	ಹೆಚ್ಚಾಗಿ ಅವಲಂಬಿಸುವುದು	ಮಕ್ಕಳು ತಂದೆತಾಯಿಗಳ ಮೇಲೆ ಅತಿಯಾಗಿ ಅವಲಂಬಿಸಬಾರದು.
依托	ಆಧರಿಸುವುದು	ಯೋಜನೆ ಸ್ಥಳೀಯ ಸಂಪನ್ಮೂಲಗಳನ್ನು ಆಧರಿಸಿ ಅಭಿವೃದ್ಧಿಯಾಗುತ್ತದೆ.
衣裳	ಬಟ್ಟೆ	ಅವಳು ಸ್ವಚ್ಛ ಬಟ್ಟೆ ತೊಟ್ಟಳು.
一度	ಒಂದು ಕಾಲದಲ್ಲಿ	ಕಂಪನಿ ಒಂದು ಕಾಲದಲ್ಲಿ ದಿವಾಳಿತನ ಎದುರಿಸಿತು.
一贯	ಸತತ	ಅವನು ಸತತವಾಗಿ ವ್ಯರ್ಥ ಖರ್ಚಿಗೆ ವಿರೋಧಿಸಿದ್ದಾನೆ.
一目了然	ಒಮ್ಮೆ ನೋಡಿದರೆ ಸ್ಪಷ್ಟ	ಪಟ್ಟಿಯ ವಿಷಯ ಒಮ್ಮೆ ನೋಡಿದರೆ ಸ್ಪಷ್ಟವಾಗುತ್ತದೆ.
一向	ಎಂದಿನಿಂದಲೂ	ಅವಳು ಎಂದಿನಿಂದಲೂ ಸಮಯಪಾಲಕಿ.
仪器	ಉಪಕರಣ	ಪ್ರಯೋಗಾಲಯ ಹೊಸ ಉಪಕರಣಗಳನ್ನು ಖರೀದಿಸಿತು.
仪式	ಸಮಾರಂಭ	ಪದವಿ ಪ್ರದಾನ ಸಮಾರಂಭ ನಾಳೆ ನಡೆಯಲಿದೆ.
疑惑	ಗೊಂದಲ	ವಿದ್ಯಾರ್ಥಿಗೆ ಉತ್ತರದ ಬಗ್ಗೆ ಗೊಂದಲವಾಯಿತು.
遗产	ಪಾರಂಪರಿಕ ಆಸ್ತಿ	ಈ ಪ್ರಾಚೀನ ನಗರ ಸಾಂಸ್ಕೃತಿಕ ಪಾರಂಪರಿಕ ಆಸ್ತಿ.
遗传	ವಂಶಪಾರಂಪರ್ಯವಾಗಿ ಬರುವುದು	ಈ ರೋಗ ವಂಶಪಾರಂಪರ್ಯವಾಗಿ ಬರಬಹುದು.
遗留	ಉಳಿದುಬಂದ	ಇತಿಹಾಸದಿಂದ ಉಳಿದುಬಂದ ಸಮಸ್ಯೆಗಳನ್ನು ಪರಿಹರಿಸಬೇಕು.
遗失	ಕಳೆದುಕೊಳ್ಳುವುದು	ಪ್ರಯಾಣಿಕನು ಪಾಸ್‌ಪೋರ್ಟ್ ಕಳೆದುಕೊಂಡನು.
以便	ಸುಲಭವಾಗಲು	ನಿಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಲು ಸುಲಭವಾಗಲು ದಯವಿಟ್ಟು ಫೋನ್ ಸಂಖ್ಯೆ ಬಿಡಿ.
以免	ತಪ್ಪಿಸಲು	ತಡವಾಗುವುದನ್ನು ತಪ್ಪಿಸಲು ಬೇಗ ಹೊರಡಿ.
以往	ಹಿಂದಿನ	ಹಿಂದಿನ ಅನುಭವವನ್ನು ಉಲ್ಲೇಖಿಸುವುದು ಉಪಯುಕ್ತ.
以至	ಅಷ್ಟರವರೆಗೆ	ವ್ಯಾಪ್ತಿ ಸಮುದಾಯದಿಂದ ಇಡೀ ನಗರದವರೆಗೂ ವಿಸ್ತರಿಸಿತು.
以致	ಫಲವಾಗಿ	ಭಾರಿ ಮಳೆ ಮುಂದುವರಿದು, ಫಲವಾಗಿ ರಸ್ತೆಗಳು ಕಡಿತಗೊಂಡವು.
一帆风顺	ಎಲ್ಲವೂ ಸುಗಮ	ವ್ಯವಹಾರ ಆರಂಭಿಸುವುದು ಯಾವಾಗಲೂ ಎಲ್ಲವೂ ಸುಗಮವಾಗಿರುವುದಿಲ್ಲ.
一举两得	ಒಂದೇ ಕಾರ್ಯದಲ್ಲಿ ಎರಡು ಲಾಭ	ಕೆಲಸಕ್ಕೆ ಸೈಕಲ್‌ನಲ್ಲಿ ಹೋಗುವುದರಿಂದ ಒಂದೇ ಕಾರ್ಯದಲ್ಲಿ ಎರಡು ಲಾಭ ಸಿಗುತ್ತದೆ.
一丝不苟	ಅತ್ಯಂತ ಕಚ್ಚಾಗಿ	ಇಂಜಿನಿಯರ್ ತಂತಿಗಳನ್ನು ಅತ್ಯಂತ ಕಚ್ಚಾಗಿ ಪರಿಶೀಲಿಸಿದನು.
亦	ಸಹ	ಅವನೂ ಈ ಯೋಜನೆಗೆ ಸಹ ಒಪ್ಪಿಕೊಂಡನು.
异常	ಅಸಾಮಾನ್ಯ	ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಅಸಾಮಾನ್ಯ ಸ್ಥಿತಿ ಉಂಟಾಯಿತು.
意料	ನಿರೀಕ್ಷೆ	ಫಲಿತಾಂಶ ಸಂಪೂರ್ಣವಾಗಿ ನಿರೀಕ್ಷೆಗೆ ವಿರುದ್ಧವಾಗಿತ್ತು.
意识	ಅರಿವು	ಸಮಸ್ಯೆ ಗಂಭೀರವೆಂದು ಅವನಿಗೆ ನಿಧಾನವಾಗಿ ಅರಿವು ಬಂದಿತು.
意图	ಉದ್ದೇಶ	ಪೊಲೀಸರು ಅವನ ಉದ್ದೇಶವನ್ನು ಅರಿತುಕೊಂಡರು.
意味着	ಅರ್ಥವಾಗುವುದು	ಮೌನ ಒಪ್ಪಿಗೆ ಎಂದರ್ಥವಲ್ಲ.
意向	ಸಹಕಾರ ಆಸಕ್ತಿ	ಎರಡು ಪಕ್ಷಗಳೂ ಸಹಕಾರ ಆಸಕ್ತಿ ವ್ಯಕ್ತಪಡಿಸಿದವು.
意志	ಮನೋಬಲ	ಕಷ್ಟಗಳು ಒಬ್ಬರ ಮನೋಬಲವನ್ನು ಪರೀಕ್ಷಿಸುತ್ತವೆ.
毅力	ಹಠಬಲ	ಯಶಸ್ಸಿಗೆ ದೀರ್ಘಕಾಲದ ಹಠಬಲ ಬೇಕು.
毅然	ದೃಢವಾಗಿ	ಅವಳು ದೃಢವಾಗಿ ಕಂಪನಿಯನ್ನು ಬಿಟ್ಟಳು.
翼	ರೆಕ್ಕೆ	ವಿಮಾನ ರೆಕ್ಕೆಯನ್ನು ಪರಿಶೀಲಿಸಲಾಯಿತು.
阴谋	ಸಂಚು	ಅವರು ಸಂಚನ್ನು ಬಹಿರಂಗಪಡಿಸಿದರು.
音响	ಧ್ವನಿವ್ಯವಸ್ಥೆ	ಮನೆಯ ಸಭಾಂಗಣದಲ್ಲಿ ಧ್ವನಿವ್ಯವಸ್ಥೆ ಚೆನ್ನಾಗಿದೆ.
引导	ಮಾರ್ಗದರ್ಶನ ಮಾಡುವುದು	ಶಿಕ್ಷಕರು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಯೋಚಿಸಲು ಮಾರ್ಗದರ್ಶನ ಮಾಡಿದರು.
引擎	ಎಂಜಿನ್	ಕಾರಿನ ಎಂಜಿನ್ ಹಠಾತ್ ನಿಂತಿತು.
引用	ಉಲ್ಲೇಖಿಸುವುದು	ಪ್ರಬಂಧ ಬಹಳಷ್ಟು ವಸ್ತುಗಳನ್ನು ಉಲ್ಲೇಖಿಸಿದೆ.
隐蔽	ಮರೆಮಾಡುವುದು	ಸೈನಿಕರು ಕಾಡಿನಲ್ಲಿ ಮರೆಮಾಡಿಕೊಂಡರು.
隐患	ಮರೆಮಾಚಿದ ಅಪಾಯ	ಹಳೆಯ ವಿದ್ಯುತ್ ತಂತಿಗಳಲ್ಲಿ ಮರೆಮಾಚಿದ ಸುರಕ್ಷತಾ ಅಪಾಯಗಳಿವೆ.
隐瞒	ಮುಚ್ಚಿಡುವುದು	ಅವನು ಸತ್ಯವನ್ನು ಮುಚ್ಚಿಡಲಿಲ್ಲ.
隐私	ಗೌಪ್ಯತೆ	ಕಂಪನಿ ಬಳಕೆದಾರರ ಗೌಪ್ಯತೆಯನ್ನು ರಕ್ಷಿಸಬೇಕು.
隐约	ಅಸ್ಪಷ್ಟವಾಗಿ	ದೂರದಲ್ಲಿ ಹಾಡು ಅಸ್ಪಷ್ಟವಾಗಿ ಕೇಳಿಸಿತು.
饮食	ಆಹಾರ ಪಾನೀಯ	ಆರೋಗ್ಯಕರ ಆಹಾರ ಪಾನೀಯ ಚೇತರಿಕೆಗೆ ಸಹಾಯಮಾಡುತ್ತದೆ.
婴儿	ಶಿಶು	ಶಿಶು ಶಾಂತವಾಗಿ ನಿದ್ರೆ ಮಾಡುತ್ತಿದೆ.
英明	ಜಾಣ್ಮೆಯ	ನಾಯಕ ಜಾಣ್ಮೆಯ ನಿರ್ಧಾರ ತೆಗೆದುಕೊಂಡರು.
英勇	ವೀರ	ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ ವೀರವಾಗಿ ಮಗುವನ್ನು ರಕ್ಷಿಸಿದರು.
盈利	ಲಾಭ ಗಳಿಸುವುದು	ಕಂಪನಿ ಈ ವರ್ಷ ಲಾಭ ಗಳಿಸಲು ಆರಂಭಿಸಿತು.
迎面	ಮುಖಕ್ಕೆ ಎದುರಾಗಿ	ಚಳಿ ಗಾಳಿ ನಮ್ಮ ಮುಖಕ್ಕೆ ಎದುರಾಗಿ ಬೀಸಿತು.
应酬	ಸಾಮಾಜಿಕ ಭೇಟಿಗಳು	ಇಂದು ರಾತ್ರಿ ಅವನಿಗೆ ಅನೇಕ ಸಾಮಾಜಿಕ ಭೇಟಿಗಳಿವೆ.
