simplified	BN	example_BN
掩饰	লুকিয়ে রাখা	সে উদ্বেগ লুকিয়ে রাখার চেষ্টা করেছে।
演变	বিবর্তিত হওয়া	শহরের বিন্যাস ক্রমাগত বিবর্তিত হচ্ছে।
演习	মহড়া	স্কুল অগ্নিনির্বাপণ মহড়া করেছে।
演绎	যুক্তি দিয়ে উদ্ভূত করা	শিক্ষক এই উপপাদ্য যুক্তি দিয়ে উদ্ভূত করলেন।
演奏	বাদ্যযন্ত্রে পরিবেশন করা	বাদ্যদল শাস্ত্রীয় সঙ্গীত পরিবেশন করছে।
眼光	দূরদৃষ্টি	তার বিনিয়োগের দূরদৃষ্টি ভালো।
眼色	চোখের ইশারা	সে সহকর্মীকে চোখের ইশারা দিল।
眼神	চোখের দৃষ্টি	তার চোখের দৃষ্টি খুব দৃঢ়।
厌恶	ঘৃণা করা	সে প্রতারণামূলক আচরণ ঘৃণা করে।
验收	গ্রহণযোগ্যতা পরীক্ষা	কাজ শেষ হলে প্রকল্পের গ্রহণযোগ্যতা পরীক্ষা দরকার।
验证	যাচাই করা	পরীক্ষা অনুমানটি যাচাই করেছে।
氧气	অক্সিজেন	রোগীর অক্সিজেন শ্বাস নিতে হবে।
样品	নমুনা	গ্রাহক পণ্যের নমুনা পেয়েছেন।
摇摆	দুলতে থাকা	ছোট নৌকাটি বাতাস ও ঢেউয়ে দুলছিল।
摇滚	রক সঙ্গীত	তরুণেরা রক সঙ্গীত পছন্দ করে।
谣言	গুজব	অপ্রমাণিত গুজব ছড়িও না।
遥控	দূরনিয়ন্ত্রণ করা	সে ফোন দিয়ে শীতাতপ নিয়ন্ত্রক দূরনিয়ন্ত্রণ করেছে।
遥远	দূরবর্তী	ওই গ্রাম শহর থেকে খুব দূরবর্তী।
耀眼	চোখধাঁধানো	রোদ এত উজ্জ্বল ছিল যে চোখধাঁধানো লাগছিল।
要点	মূল বিষয়	দয়া করে সভার মূল বিষয় লিখে রাখুন।
要命	প্রাণঘাতী রকম	এই পাহাড়ি রাস্তা প্রাণঘাতী রকম বিপজ্জনক।
要素	মূল উপাদান	বিশ্বাস সহযোগিতার গুরুত্বপূর্ণ মূল উপাদান।
野蛮	বর্বর	সে বর্বর আইনপ্রয়োগের বিরোধিতা করে।
野心	উচ্চাকাঙ্ক্ষা	তার রাজনৈতিক উচ্চাকাঙ্ক্ষা স্পষ্ট।
液体	তরল	এই তরলের কোনো রং নেই।
一流	প্রথম শ্রেণির	এই হাসপাতালের সরঞ্জাম প্রথম শ্রেণির।
一如既往	আগের মতোই	সে আগের মতোই আমাদের সমর্থন করে।
依旧	এখনও	বৃষ্টি থেমেছে, কিন্তু রাস্তা এখনও ভেজা।
依据	ভিত্তি	রায় আইনকে ভিত্তি করে হতে হবে।
依靠	নির্ভর করা	তারা জীবিকার জন্য কৃষির ওপর নির্ভর করে।
依赖	নির্ভরশীল হওয়া	শিশুদের মা-বাবার ওপর অতিরিক্ত নির্ভরশীল হওয়া উচিত নয়।
依托	ভর করে বিকাশ করা	প্রকল্প স্থানীয় সম্পদের ওপর ভর করে বিকাশ করছে।
衣裳	কাপড়চোপড়	সে পরিষ্কার কাপড়চোপড় পরে নিল।
一度	একসময়	কোম্পানি একসময় দেউলিয়া হওয়ার মুখে পড়েছিল।
一贯	বরাবর	সে বরাবর অপচয়ের বিরোধিতা করেছে।
一目了然	এক নজরেই স্পষ্ট	টেবিলের বিষয়বস্তু এক নজরেই স্পষ্ট।
一向	সবসময়	সে সবসময় সময়নিষ্ঠ।
仪器	যন্ত্র	ল্যাবরেটরি নতুন যন্ত্র কিনেছে।
仪式	অনুষ্ঠান	স্নাতক অনুষ্ঠান কাল অনুষ্ঠিত হবে।
疑惑	সন্দেহে বিভ্রান্ত	ছাত্র উত্তরটি নিয়ে সন্দেহে বিভ্রান্ত হলো।
