simplified	ES-419	example_ES-419
震惊	conmocionar; sorprender	La noticia conmocionó a todo el país.
争端	disputa; conflicto	Ambas partes intentaron resolver la disputa fronteriza.
争夺	competir por; disputarse	Dos empresas compiten por cuota de mercado.
争气	esforzarse para honrar a alguien	Él estudia mucho para enorgullecer a su familia.
争先恐后	competir por ser el primero; apresurarse	Los turistas se apresuraron a subir al autobús.
争议	controversia; disputa	Esta decisión causó controversia.
征服	conquistar; vencer	El montañista conquistó la cumbre.
征收	recaudar; imponer	El gobierno recauda impuestos conforme a la ley.
挣扎	luchar; forcejear	El pájaro luchaba dentro de la red.
正月	primer mes lunar	Durante el primer mes lunar los parientes se visitan para felicitar el Año Nuevo.
蒸发	evaporarse; evaporación	La humedad se evaporó rápidamente.
整顿	reorganizar; ordenar	La empresa empezó a reorganizar la gestión.
政策	política	La nueva política apoya a las pequeñas empresas.
政权	régimen; poder político	La guerra cambió el régimen local.
正当	legítimo; razonable	Él presentó una solicitud legítima.
正负	positivo y negativo	El instrumento muestra errores positivos y negativos.
正规	regular; formal	El niño entró en una escuela formal para estudiar.
正经	serio; decente	Por fin empezó a hablar en serio.
正气	rectitud; ambiente sano	La sociedad necesita promover la rectitud.
正义	justicia	El abogado defendió la justicia.
正宗	auténtico; tradicional	Este restaurante vende auténtica comida de Sichuan.
症状	síntoma	La fiebre es un síntoma común.
证实	confirmar; verificar	La investigación confirmó su declaración.
证书	certificado	Ella obtuvo un certificado profesional.
郑重	solemne; serio	Él prometió solemnemente asumir la responsabilidad.
之际	en el momento de; al acercarse	Al acercarse la Fiesta de Primavera, todos están muy ocupados.
支撑	sostener; apoyar	Las columnas sostienen el techo.
支出	gasto; desembolso	Los gastos familiares aumentaron claramente.
支流	afluente	Este río es un afluente del Yangtsé.
支配	dominar; controlar	Las emociones no deben dominar el juicio.
支援	apoyar; prestar ayuda	Médicos de muchos lugares vinieron a prestar apoyo.
支柱	pilar; sostén	La manufactura es un pilar de la economía local.
枝	rama; clasificador para objetos largos	Ella cortó una rama con flores.
知觉	conciencia; percepción	La persona herida recuperó gradualmente la conciencia.
知足常乐	la satisfacción trae felicidad	El anciano suele decir que la satisfacción trae felicidad.
脂肪	grasa	Los frutos secos contienen grasas saludables.
侄子	sobrino	Mi sobrino empieza la escuela primaria este año.
值班	estar de guardia; turno	La enfermera está de guardia esta noche.
执行	ejecutar; llevar a cabo	El tribunal ejecutó la sentencia.
执着	persistente; aferrado	Él es muy persistente con sus ideales.
殖民地	colonia	Esta isla fue una vez una colonia.
直播	transmisión en vivo	El partido se transmitirá en vivo por internet esta noche.
直径	diámetro	El diámetro de este círculo es de diez centímetros.
职能	función; rol	Las funciones del departamento deben redistribuirse.
职位	puesto; cargo	Ella solicitó un puesto de gestión.
职务	cargo; puesto	Su cargo es supervisor de proyecto.
指标	indicador; objetivo	El objetivo de ventas ya se cumplió.
指定	designar; asignar	El profesor lo designó para responder la pregunta.
指甲	uña	Ella se cortó las uñas.
指令	orden; instrucción	La computadora recibió una nueva instrucción.
指南针	brújula	El montañista llevó una brújula.
指示	instrucción; indicación	El gerente dio instrucciones claras.
指望	contar con; esperar	No cuentes con que otros lo terminen por ti.
指责	criticar; acusar	El público criticó a la empresa por contaminar el ambiente.
制裁	sanción; sancionar	La comunidad internacional impuso sanciones económicas.
制服	uniforme; someter	El guardia llevaba un uniforme azul oscuro.
制约	restringir; limitar	La falta de fondos limita el desarrollo.
制止	detener; poner fin	La policía detuvo el conflicto a tiempo.
志气	ambición; determinación	Los jóvenes deben tener ambición.
智力	inteligencia	Los juegos pueden entrenar la inteligencia.
智能	inteligente; smart	Los dispositivos inteligentes son cada vez más comunes.
智商	coeficiente intelectual	El coeficiente intelectual no puede decidirlo todo.
治安	seguridad pública; orden público	La seguridad pública de la comunidad mejoró claramente.
治理	gobernar; gestionar	El gobierno reforzó la gestión de los ríos.
滞留	quedar varado; retención	Los viajeros quedaron varados en el aeropuerto por la fuerte nieve.
致辞	pronunciar un discurso	El director pronunció un discurso en la ceremonia.
致力	dedicarse a	El equipo se dedica a la innovación tecnológica.
致使	causar; provocar	Errores de gestión causaron el retraso del proyecto.
中断	interrumpir; interrupción	La lluvia intensa causó la interrupción de las comunicaciones.
中立	neutral	Este país mantiene una posición neutral.
中央	centro; central	La fuente está en el centro de la plaza.
忠诚	leal; fidelidad	Los empleados son muy leales a la empresa.
忠实	fiel	Él es un lector fiel de este periódico.
终点	meta; punto final	La meta está justo adelante.
终究	al final; después de todo	El problema se resolverá al final.
终身	de por vida	Él decidió dedicarse a la educación de por vida.
终止	terminar; finalizar	El contrato termina a finales del próximo mes.
衷心	sincero; de corazón	Te agradezco sinceramente tu ayuda.
种子	semilla	Los agricultores sembraron nuevas semillas.
种族	raza; etnia	La ley prohíbe la discriminación racial.
肿瘤	tumor	El médico encontró un tumor benigno.
众所周知	como todos saben	Como todos saben, el agua es importante.
种植	cultivar; plantar	Este lugar es adecuado para cultivar uvas.
重心	centro de gravedad; foco	El foco del trabajo se desplazó hacia el servicio.
周边	alrededores; periferia	El tráfico alrededor de la escuela está congestionado.
周密	cuidadoso; minucioso	Ellos elaboraron un plan minucioso.
周年	aniversario	La empresa celebró su décimo aniversario.
周期	ciclo; periodo	El ciclo de actualización del producto se acortó.
周折	complicación; vueltas	Tramitar los documentos implicó muchas complicaciones.
周转	rotación; flujo de caja	La empresa tiene dificultades de flujo de caja.
州	estado; provincia	Él vive en California, Estados Unidos.
粥	gachas; papilla	El paciente tomó gachas por la mañana.
舟	barca	La pequeña barca se acercó lentamente a la orilla.
昼夜	día y noche	Los trabajadores repararon la carretera día y noche.
皱纹	arruga	La abuela tiene muchas arrugas en la cara.
株	planta; clasificador de plantas	En el patio plantaron tres árboles.
诸位	todos ustedes; señoras y señores	Gracias a todos ustedes por venir hoy.
逐年	año tras año	Los costos operativos aumentan año tras año.
主办	organizar; ser anfitrión	La escuela organizó el festival de arte.
主导	dirigir; dominar	La demanda del mercado dirige el diseño del producto.
主管	supervisor; encargado	El supervisor se encarga de aprobar el presupuesto.
主流	corriente principal	Las ideas ambientales se han vuelto la corriente principal.
主权	soberanía	La soberanía nacional debe ser respetada.
主义	doctrina; ideología	Él estudia distintas doctrinas políticas.
嘱咐	encargar; advertir	Su madre le recordó repetidamente que llevara paraguas.
拄	apoyarse en	El anciano camina apoyándose en un bastón.
住宅	vivienda; residencia	Esta zona es principalmente residencial.
助理	asistente	El asistente organizó los materiales de la reunión.
助手	ayudante; asistente	El robot es un ayudante de laboratorio.
注射	inyección; inyectar	El médico inyectó medicina al paciente.
注视	mirar fijamente; observar	Ella miraba fijamente a lo lejos.
注释	nota; anotación	Hay notas detalladas junto al texto.
注重	dar importancia a; enfatizar	La empresa da importancia a la calidad del producto.
著作	obra; libro	Esta obra tiene una influencia profunda.
铸造	fundir; moldear	La fábrica funde piezas grandes.
驻扎	estar estacionado; guarnecer	Las tropas están estacionadas en la frontera.
拽	arrastrar; tirar	Él arrastró la caja al interior.
专长	especialidad	El análisis de datos es su especialidad.
专程	viaje especial	Él hizo un viaje especial para visitar al profesor.
专利	patente	La empresa solicitó una nueva patente.
专题	tema especial; programa especial	La televisión emitió un programa especial sobre protección ambiental.
砖	ladrillo	Los trabajadores trajeron un carro de ladrillos.
转达	transmitir; comunicar	Por favor, transmite mi agradecimiento.
转让	transferir; traspasar	Él decidió traspasar la tienda.
转移	trasladar; cambiar	La enfermera trasladó a los heridos.
转折	giro; punto de inflexión	La historia tuvo un giro importante.
传记	biografía	Ella está escribiendo la biografía de su padre.
庄稼	cultivo; cosecha	La lluvia nutrió los cultivos.
庄严	solemne; majestuoso	La ceremonia tenía un ambiente solemne.
庄重	digno; solemne	Él llevaba ropa formal digna.
装备	equipo; equipar	El equipo está equipado con tecnología avanzada.
装卸	cargar y descargar	Los trabajadores del muelle se encargan de cargar y descargar mercancías.
壮观	espectacular	El paisaje de la cascada es muy espectacular.
壮丽	magnífico; majestuoso	Aquí hay montañas y ríos magníficos.
壮烈	heroico	El héroe murió heroicamente.
幢	clasificador para edificios	En la esquina hay una casa antigua.
追悼	duelo; memorial	La gente asistió a la ceremonia conmemorativa.
追究	investigar; exigir responsabilidad	La empresa investigará la responsabilidad.
坠	caer; desplomarse	Las hojas cayeron de las ramas.
准则	principio; criterio	La honestidad es un principio de cooperación.
卓越	excelente; sobresaliente	Ella logró resultados sobresalientes.
琢磨	reflexionar; meditar	Él reflexionó repetidamente sobre este problema.
着手	empezar; ponerse a	El equipo empezará la investigación mañana.
着想	considerar; pensar en	Los padres siempre piensan en sus hijos.
着重	enfatizar; poner énfasis en	El informe enfatiza el análisis de costos.
姿态	postura; actitud	Ella mantuvo una actitud modesta.
滋润	humedecer; nutrir	La lluvia de primavera humedeció la tierra.
滋味	sabor; sensación	La sensación del fracaso es difícil de soportar.
资本	capital	Emprender un negocio requiere cierto capital.
资产	activos; bienes	Los activos de la empresa siguen creciendo.
资深	veterano; con mucha experiencia	Un abogado veterano manejó este caso.
资助	financiar; subvencionar	La fundación financia a estudiantes pobres.
子弹	bala	La bala impactó en la pared.
自卑	sentirse inferior	Él ya no se siente inferior.
自发	espontáneo	Los residentes limpiaron la calle espontáneamente.
自力更生	autosuficiencia; valerse por uno mismo	Los aldeanos insisten en valerse por sí mismos.
自满	complaciente; satisfecho de sí mismo	No hay que volverse complaciente después del éxito.
自主	autónomo; independiente	Los estudiantes necesitan desarrollar la capacidad de aprendizaje autónomo.
宗教	religión	Él estudia religiones del mundo.
宗旨	propósito; objetivo	El propósito de la institución es servir a la comunidad.
棕色	marrón	Ella compró zapatos de cuero marrones.
踪迹	rastro; huella	La policía encontró rastros del sospechoso.
总而言之	en resumen; en pocas palabras	En resumen, el plan es viable.
总和	suma	La ganancia es la diferencia entre el total de ingresos y costos.
纵横	cruzado; por todas partes	Los ríos se entrecruzan por la llanura.
走廊	pasillo	Los niños hicieron fila en el pasillo.
走漏	filtrarse; divulgarse	La noticia no debe filtrarse.
走私	contrabandear	La aduana incautó mercancías de contrabando.
揍	golpear; dar una paliza	Él fue golpeado por varios borrachos.
租赁	alquilar; arrendar	La empresa arrendó una nueva oficina.
足以	suficiente para	Estas pruebas son suficientes para explicar el problema.
祖父	abuelo paterno	Al abuelo le gusta contar historias antiguas.
祖国	patria	Él ama profundamente a su patria.
祖先	antepasado	Ellos veneran a sus antepasados.
阻碍	obstaculizar; impedir	La falta de fondos obstaculiza el avance del proyecto.
阻拦	detener; bloquear	El guardia impidió la entrada de desconocidos.
阻挠	obstruir; entorpecer	Alguien obstruyó deliberadamente la investigación.
钻研	estudiar a fondo; investigar	Ella estudia a fondo la literatura antigua.
钻石	diamante	El anillo lleva un diamante engastado.
