simplified	ML	example_ML
销毁	നശിപ്പിക്കുക	കാലാവധി കഴിഞ്ഞ രേഖകൾ സുരക്ഷിതമായി നശിപ്പിച്ചു.
小心翼翼	വളരെ സൂക്ഷ്മമായി	അവൾ ഗ്ലാസ് കപ്പ് വളരെ സൂക്ഷ്മമായി എടുത്തു.
效益	ഫലപ്രാപ്തി	പുതിയ രീതി ഉൽപ്പാദന ഫലപ്രാപ്തി കൂട്ടി.
肖像	പ്രതിഛായ	മ്യൂസിയത്തിൽ രാജാവിന്റെ പഴയ പ്രതിഛായ തൂങ്ങിയിരുന്നു.
协会	സംഘം	ഡോക്ടർമാരുടെ സംഘം ആരോഗ്യശിബിരം നടത്തി.
协商	ആലോചിച്ച് ധാരണയിലെത്തുക	രണ്ട് വിഭാഗങ്ങളും ആലോചിച്ച് ധാരണയിലെത്തി.
协调	സമന്വയിപ്പിക്കുക	അവൾ സംഘത്തിന്റെ ജോലി സമന്വയിപ്പിച്ചു.
协议	കരാർ	കമ്പനികൾ പുതിയ കരാറിൽ ഒപ്പിട്ടു.
协助	സഹായിക്കുക	സ്വയംസേവകർ രക്ഷാപ്രവർത്തനത്തിൽ സഹായിച്ചു.
携带	കൈവശം കൊണ്ടുപോകുക	യാത്രയിൽ തിരിച്ചറിയൽ കാർഡ് കൈവശം കൊണ്ടുപോകണം.
屑	ചെറുതുണുക്ക്	മേശപ്പുറത്ത് മരം ചെറുതുണുക്കുകൾ വീണു.
泄露	ചോർന്നുപോകുക	രഹസ്യവിവരം പുറത്തേക്ക് ചോർന്നു.
泄气	നിരാശപ്പെടുക	ആദ്യ പരാജയത്തിൽ തന്നെ നിരാശപ്പെടരുത്.
谢绝	മര്യാദയായി നിരസിക്കുക	അവൾ ആ ക്ഷണം മര്യാദയായി നിരസിച്ചു.
心得	അനുഭവത്തിൽ നിന്നുള്ള അറിവ്	അവൾ പഠനാനുഭവത്തിൽ നിന്നുള്ള അറിവ് എല്ലാവരുമായി പങ്കിട്ടു.
心甘情愿	മനസ്സോടെ തയ്യാറാകുക	അവൻ സുഹൃത്തിനെ സഹായിക്കാൻ മനസ്സോടെ തയ്യാറായി.
心灵	മനസ്	സംഗീതം അവളുടെ മനസ്സിനെ ശാന്തമാക്കി.
心态	മനോഭാവം	വിജയത്തിന് നല്ല മനോഭാവം ആവശ്യമാണ്.
心疼	കരുണയോടെ വേദനിക്കുക	കുട്ടിയുടെ കഷ്ടം കണ്ടപ്പോൾ അമ്മയ്ക്ക് കരുണയോടെ വേദനിച്ചു.
心血	പരിശ്രമവും പരിചരണവും	ഈ പുസ്തകത്തിൽ എഴുത്തുകാരന്റെ വലിയ പരിശ്രമവും പരിചരണവും ഉണ്ട്.
心眼儿	മനസ്സിലെ ഉദ്ദേശം	അവന്റെ മനസ്സിലെ ഉദ്ദേശം ആരും മനസ്സിലാക്കിയില്ല.
新陈代谢	ചയാപചയം	വ്യായാമം ശരീരത്തിന്റെ ചയാപചയം മെച്ചപ്പെടുത്തുന്നു.
新郎	വരൻ	വരൻ വിവാഹവേദിയിൽ എത്തി.
新娘	വധു	വധു ചുവന്ന വസ്ത്രം ധരിച്ചു.
新颖	പുതുമയുള്ള	ഈ രൂപകൽപ്പന വളരെ പുതുമയുള്ളതാണ്.
欣慰	സംതൃപ്തി തോന്നുക	കുട്ടികളുടെ പുരോഗതി കണ്ടപ്പോൾ അധ്യാപികയ്ക്ക് സംതൃപ്തി തോന്നി.
欣欣向荣	സമൃദ്ധിയായി വളരുക	പുതിയ നയത്തിന് ശേഷം ഗ്രാമം സമൃദ്ധിയായി വളർന്നു.
薪水	ശമ്പളം	ഈ ജോലിയുടെ ശമ്പളം മതിയായതാണ്.
辛勤	കഠിനാധ്വാനമുള്ള	കഠിനാധ്വാനമുള്ള കർഷകർ വയലിൽ പ്രവർത്തിച്ചു.
信赖	വിശ്വസിച്ച് ആശ്രയിക്കുക	ഗ്രാഹകർ ഈ ബ്രാൻഡിനെ വിശ്വസിച്ച് ആശ്രയിക്കുന്നു.
信念	വിശ്വാസധാരണ	അവന്റെ വിശ്വാസധാരണ ഒരിക്കലും തകരില്ല.
信仰	വിശ്വാസം	ഓരോരുത്തർക്കും സ്വന്തം വിശ്വാസം പാലിക്കാനുള്ള അവകാശമുണ്ട്.
信誉	വിശ്വാസ്യത	കടയുടെ വിശ്വാസ്യത വർഷങ്ങളായി നിലനിൽക്കുന്നു.
兴高采烈	അത്യന്തം സന്തോഷത്തോടെ	വിജയവാർത്ത കേട്ട് കുട്ടികൾ അത്യന്തം സന്തോഷത്തോടെ ചാടി.
兴隆	സമൃദ്ധമായ	അവരുടെ വ്യാപാരം വർഷംതോറും സമൃദ്ധമായി.
兴旺	വളർച്ചയും സമൃദ്ധിയും കൈവരിക്കുക	ചെറുകിട വ്യവസായങ്ങൾ വളർച്ചയും സമൃദ്ധിയും കൈവരിച്ചു.
腥	മീനിന്റെ മണം ഉള്ള	ഈ പാത്രത്തിൽ മീനിന്റെ മണം കൂടുതലുണ്ട്.
刑事	ക്രിമിനൽ	ഇത് ഒരു ക്രിമിനൽ കേസായി രജിസ്റ്റർ ചെയ്തു.
形态	രൂപഭാവം	ഈ ചെടിയുടെ രൂപഭാവം കാലാവസ്ഥയനുസരിച്ച് മാറും.
行政	ഭരണകാര്യ	അവൻ ഭരണകാര്യ വകുപ്പിൽ ജോലി ചെയ്യുന്നു.
兴致勃勃	ആവേശത്തോടെ	കുട്ടികൾ പരീക്ഷണത്തിൽ ആവേശത്തോടെ പങ്കെടുത്തു.
性感	ആകർഷകമായ ഭാവമുള്ള	നർത്തകിയുടെ വേദിയിലെ ഭാവം ആകർഷകമായിരുന്നു.
性命	ജീവൻ	അപകടത്തിൽ പലരുടെ ജീവൻ രക്ഷപ്പെട്ടു.
性能	പ്രവർത്തനക്ഷമത	പുതിയ ഫോണിന്റെ പ്രവർത്തനക്ഷമത മെച്ചമാണ്.
凶恶	ക്രൂരമായ	ക്രൂരമായ മുഖഭാവം കുട്ടികളെ ഭയപ്പെടുത്തി.
凶手	കൊലയാളി	പോലീസ് കൊലയാളിയെ പിടികൂടി.
汹涌	പ്രക്ഷുബ്ധമായി പൊങ്ങുക	കടൽ തിരകൾ പ്രക്ഷുബ്ധമായി പൊങ്ങി.
胸怀	വിശാല മനസ്	നേതാവിന് വിശാല മനസ് വേണം.
胸膛	നെഞ്ച്	അവൻ കൈ നെഞ്ചിന്മേൽ വെച്ചു.
雄厚	ശക്തമായ	കമ്പനിക്ക് ശക്തമായ സാമ്പത്തിക അടിത്തറയുണ്ട്.
雄伟	മഹത്തായ	മഹത്തായ മലനിരകൾ ദൂരത്ത് തെളിഞ്ഞു.
修复	പുനരുദ്ധരിക്കുക	വിദഗ്ധർ പഴയ ക്ഷേത്രം പുനരുദ്ധരിച്ചു.
修建	നിർമ്മിക്കുക	ഗ്രാമത്തിൽ പുതിയ പാലം നിർമ്മിച്ചു.
修养	സ്വയംപരിശീലനം	വായന മനുഷ്യന്റെ സ്വയംപരിശീലനം വളർത്തുന്നു.
羞耻	ലജ്ജ	തെറ്റ് ചെയ്തപ്പോൾ അവന് ലജ്ജ തോന്നി.
嗅觉	മണബോധം	നായയുടെ മണബോധം വളരെ ശക്തമാണ്.
绣	എംബ്രോയ്ഡർ ചെയ്യുക	അവൾ തുണിയിൽ പൂക്കൾ എംബ്രോയ്ഡർ ചെയ്തു.
虚假	കള്ളമായ	കള്ളമായ പരസ്യം ഉപഭോക്താക്കളെ വഞ്ചിക്കുന്നു.
虚荣	വ്യർത്ഥ അഭിമാനം	വ്യർത്ഥ അഭിമാനത്തിനായി പണം ചെലവഴിക്കരുത്.
虚伪	കപടമായ	കപടമായ ചിരി അവനെ വിശ്വസനീയനാക്കില്ല.
需求	ആവശ്യം	വിപണിയിൽ ഈ ഉൽപ്പന്നത്തിന് വലിയ ആവശ്യമുണ്ട്.
须知	അറിയേണ്ട നിർദ്ദേശങ്ങൾ	പരീക്ഷയ്‌ക്ക് മുമ്പ് അറിയേണ്ട നിർദ്ദേശങ്ങൾ വായിക്കുക.
许可	അനുമതി	പ്രവേശിക്കാൻ എഴുത്തുപരമായ അനുമതി വേണം.
序言	മുഖവുര	പുസ്തകത്തിന്റെ മുഖവുരയിൽ എഴുത്തുകാരൻ ലക്ഷ്യം വിശദീകരിച്ചു.
畜牧	മൃഗസംരക്ഷണം	ഈ പ്രദേശത്ത് മൃഗസംരക്ഷണം പ്രധാന തൊഴിലാണ്.
酗酒	അമിതമായി മദ്യപിക്കുക	അമിതമായി മദ്യപിക്കുന്നത് ആരോഗ്യത്തിന് ഹാനികരമാണ്.
喧哗	കോളാഹലം	രാത്രിയിൽ തെരുവിലെ കോളാഹലം കൂടിയിരുന്നു.
宣誓	സത്യപ്രതിജ്ഞ ചെയ്യുക	പുതിയ ഉദ്യോഗസ്ഥൻ സത്യപ്രതിജ്ഞ ചെയ്തു.
宣扬	പ്രചരിപ്പിക്കുക	സംഘം ആരോഗ്യബോധവൽക്കരണം വ്യാപകമായി പ്രചരിപ്പിച്ചു.
悬挂	തൂക്കിവയ്ക്കുക	അവൾ മതിലിൽ ചിത്രം തൂക്കിവച്ചു.
悬念	ഉത്കണ്ഠജനകമായ കൗതുകം	കഥയുടെ അവസാനം വരെ ഉത്കണ്ഠജനകമായ കൗതുകം നിലനിന്നു.
悬殊	വലിയ വ്യത്യാസമുള്ള	രണ്ടു ടീമുകളുടെ നിലവാരത്തിൽ വലിയ വ്യത്യാസമുണ്ട്.
悬崖峭壁	കുത്തനെയുള്ള പാറമതിൽ	കുത്തനെയുള്ള പാറമതിലിന്റെ അരികിൽ നിൽക്കുന്നത് അപകടകരമാണ്.
