simplified	NE	example_NE
引导	मार्गदर्शन गर्नु	शिक्षकले विद्यार्थीलाई सोच्न मार्गदर्शन गर्छन्।
引擎	इन्जिन	कारको इन्जिन अचानक बन्द भयो।
引用	उद्धृत गर्नु	शोधपत्रले धेरै सामग्री उद्धृत गर्यो।
隐蔽	लुक्नु	सैनिकहरू जंगलमा लुके।
隐患	लुकेको जोखिम	पुराना तारमा सुरक्षा सम्बन्धी लुकेको जोखिम छ।
隐瞒	लुकाउनु	उसले सत्य लुकाएन।
隐私	गोपनीयता	कम्पनीले प्रयोगकर्ताको गोपनीयता जोगाउनुपर्छ।
隐约	धमिलो रूपमा	टाढाबाट गीतको आवाज धमिलो रूपमा सुनियो।
饮食	खानपान	स्वस्थ खानपानले निको हुन सहयोग गर्छ।
婴儿	शिशु	शिशु शान्तसँग सुतिरहेको छ।
英明	बुद्धिमानी	नेतृत्वले बुद्धिमानी निर्णय गर्यो।
