simplified	HY	example_HY
正气	արդար ոգի; բարոյական մթնոլորտ	Հասարակությունը պետք է խթանի արդար ոգին։
正义	արդարություն; արդարացի	Փաստաբանը պաշտպանում էր արդարությունը։
正宗	իսկական; ավանդական	Այս ռեստորանը իսկական սիչուանական ուտեստներ է վաճառում։
症状	ախտանիշ	Ջերմությունը տարածված ախտանիշ է։
证实	հաստատել; ստուգել	Հետաքննությունը հաստատեց նրա հայտարարությունը։
证书	վկայական; հավաստագիր	Նա մասնագիտական վկայական ստացավ։
郑重	լրջորեն; հանդիսավոր	Նա հանդիսավոր խոստացավ պատասխանատվություն վերցնել։
之际	ժամանակ; պահին	Գարնան տոնի մոտենալու պահին բոլորը զբաղված են։
支撑	պահել; հենարան տալ	Սյուները պահում են տանիքը։
支出	ծախս; վճարում	Ընտանեկան ծախսերը նկատելիորեն աճել են։
支流	վտակ	Այս գետը Յանցզիի վտակն է։
支配	իշխել; բաշխել	Զգացմունքները չպետք է իշխեն դատողության վրա։
支援	աջակցել; օգնություն տրամադրել	Շատ վայրերից բժիշկներ եկան օգնություն տրամադրելու։
支柱	հենասյուն; հիմնասյուն	Արտադրությունը տեղական տնտեսության հենասյունն է։
枝	ճյուղ	Նա կոտրեց ծաղկի մի ճյուղ։
知觉	գիտակցություն; զգացողություն	Վնասված մարդը աստիճանաբար ուշքի եկավ։
知足常乐	ունեցածով գոհ լինել	Ծերունին հաճախ ասում է, որ գոհունակությունը երջանկություն է բերում։
脂肪	ճարպ	Ընկույզները առողջ ճարպեր են պարունակում։
侄子	եղբորորդի	Իմ եղբորորդին այս տարի սկսեց տարրական դպրոցը։
值班	հերթապահել; հերթապահ	Բուժքույրը այս գիշեր հերթապահ է։
执行	իրականացնել; կատարել	Դատարանը կատարեց վճիռը։
执着	համառ; նվիրված	Նա շատ համառ է իր իդեալների հարցում։
殖民地	գաղութ	Այս կղզին ժամանակին գաղութ էր։
直播	ուղիղ հեռարձակում	Խաղը այսօր երեկոյան ուղիղ կհեռարձակվի առցանց։
直径	տրամագիծ	Այս շրջանի տրամագիծը տասը սանտիմետր է։
职能	գործառույթ; դեր	Բաժնի գործառույթները պետք է վերաբաշխվեն։
职位	պաշտոն; դիրք	Նա դիմեց կառավարման պաշտոնի համար։
职务	պաշտոն; պարտականություն	Նրա պարտականությունը նախագծի վերահսկումն է։
指标	ցուցանիշ; նպատակային չափանիշ	Վաճառքի ցուցանիշը արդեն կատարվել է։
指定	նշանակել; հստակ ցույց տալ	Ուսուցիչը նրան նշանակեց պատասխանելու հարցին։
指甲	եղունգ	Նա կարճ կտրեց եղունգները։
指令	հրահանգ; հրաման	Համակարգիչը նոր հրահանգ ստացավ։
指南针	կողմնացույց	Լեռնագնացը կողմնացույց էր վերցրել։
指示	ցուցում տալ; մատնանշել	Ղեկավարը հստակ ցուցումներ տվեց։
指望	հույս դնել; ակնկալել	Մի հույս դիր ուրիշների վրա, որ նրանք դա ավարտեն քո փոխարեն։
指责	քննադատել; մեղադրել	Հանրությունը քննադատեց ընկերությանը շրջակա միջավայրը աղտոտելու համար։
制裁	պատժամիջոց; պատժել	Միջազգային հանրությունը տնտեսական պատժամիջոցներ սահմանեց։
制服	համազգեստ; հնազանդեցնել	Պահակը մուգ կապույտ համազգեստ էր կրում։
制约	սահմանափակել; պայմանավորել	Անբավարար ֆինանսավորումը սահմանափակում է զարգացումը։
制止	կասեցնել; դադարեցնել	Ոստիկանությունը ժամանակին կասեցրեց հակամարտությունը։
志气	ձգտում; վճռականություն	Երիտասարդները պետք է ձգտում ունենան։
智力	մտավոր կարողություն; բանականություն	Խաղերը կարող են զարգացնել մտավոր կարողությունը։
智能	խելացի; բանական	Խելացի սարքերը գնալով ավելի տարածված են դառնում։
智商	բանականության գործակից	Բանականության գործակիցը չի կարող որոշել ամեն ինչ։
治安	հասարակական անվտանգություն; կարգուկանոն	Համայնքի հասարակական անվտանգությունը ակնհայտորեն բարելավվել է։
治理	կառավարել; կարգավորել	Կառավարությունը ուժեղացրեց գետի կառավարումը։
滞留	մնալ; պահվել	Ծանր ձյան պատճառով ուղևորները մնացին օդանավակայանում։
致辞	ելույթ ունենալ; խոսք ասել	Տնօրենը արարողությանը ելույթ ունեցավ։
致力	նվիրվել; ջանքեր ուղղել	Թիմը նվիրված է տեխնոլոգիական նորարարությանը։
致使	պատճառ դառնալ; հանգեցնել	Կառավարման սխալները հանգեցրին նախագծի ուշացմանը։
中断	ընդհատել; դադարեցնել	Հորդառատ անձրևը կապի ընդհատման պատճառ դարձավ։
中立	չեզոք	Այդ երկիրը պահպանում է չեզոք դիրք։
中央	կենտրոնական; կենտրոն	Շատրվանը հրապարակի կենտրոնում է։
忠诚	հավատարիմ; նվիրված	Աշխատակիցները հավատարիմ են ընկերությանը։
忠实	հավատարիմ	Նա այս թերթի հավատարիմ ընթերցողն է։
终点	վերջնակետ; ավարտագիծ	Ավարտագիծը հենց առջևում է։
终究	ի վերջո; վերջիվերջո	Խնդիրը ի վերջո կլուծվի։
终身	ցկյանս; ողջ կյանքում	Նա որոշեց ողջ կյանքում աշխատել կրթության ոլորտում։
终止	դադարեցնել; ավարտվել	Պայմանը ավարտվում է հաջորդ ամսվա վերջում։
衷心	սրտանց; անկեղծ	Սրտանց շնորհակալություն եմ հայտնում ձեր օգնության համար։
种子	սերմ	Գյուղացիները նոր սերմեր ցանեցին։
种族	ռասա; էթնիկություն	Օրենքը արգելում է ռասայական խտրականությունը։
肿瘤	ուռուցք	Բժիշկը բարորակ ուռուցք հայտնաբերեց։
众所周知	ինչպես բոլորին հայտնի է	Ինչպես բոլորին հայտնի է, ջուրը կարևոր է։
种植	տնկել; աճեցնել	Այս վայրը հարմար է խաղող աճեցնելու համար։
重心	ծանրության կենտրոն; հիմնական ուղղություն	Աշխատանքի ծանրության կենտրոնը տեղափոխվեց դեպի ծառայություն։
