simplified	MY	example_MY
职务	တာဝန်ရာထူး	သူ၏ တာဝန်ရာထူးမှာ စီမံကိန်းကြီးကြပ်သူ ဖြစ်သည်။
指标	ညွှန်ကိန်း; ရည်မှန်းချက်ကိန်း	ရောင်းအားရည်မှန်းချက်ကိန်းကို ပြည့်မီပြီးပြီ။
指定	သတ်မှတ်ညွှန်ကြားသည်	ဆရာသည် သူ့ကို မေးခွန်းဖြေရန် သတ်မှတ်ညွှန်ကြားခဲ့သည်။
指甲	လက်သည်း	သူမသည် လက်သည်းများကို တိုအောင် ညှပ်ခဲ့သည်။
指令	အမိန့်ညွှန်ကြားချက်	ကွန်ပျူတာသည် အမိန့်ညွှန်ကြားချက်အသစ်ကို လက်ခံရရှိခဲ့သည်။
指南针	လမ်းညွှန်အိမ်မြှောင်	တောင်တက်သမားသည် လမ်းညွှန်အိမ်မြှောင်ကို ယူဆောင်ခဲ့သည်။
指示	ညွှန်ကြားချက်	မန်နေဂျာသည် ရှင်းလင်းသော ညွှန်ကြားချက်ကို ပေးခဲ့သည်။
指望	အားကိုးမျှော်လင့်သည်	အခြားသူများက သင့်အစား ပြီးစီးပေးမည်ဟု မအားကိုးပါနှင့်။
指责	ပြစ်တင်ဝေဖန်သည်	ပြည်သူများသည် ပတ်ဝန်းကျင်ညစ်ညမ်းစေသော ကုမ္ပဏီကို ပြစ်တင်ဝေဖန်ခဲ့ကြသည်။
制裁	ပိတ်ဆို့အရေးယူမှု	နိုင်ငံတကာအသိုင်းအဝိုင်းသည် စီးပွားရေးပိတ်ဆို့အရေးယူမှုများကို လုပ်ဆောင်ခဲ့သည်။
制服	ယူနီဖောင်း	လုံခြုံရေးဝန်ထမ်းသည် အပြာရင့် ယူနီဖောင်းကို ဝတ်ထားသည်။
制约	ကန့်သတ်တားဆီးသည်	ရန်ပုံငွေမလုံလောက်ခြင်းသည် ဖွံ့ဖြိုးတိုးတက်မှုကို ကန့်သတ်တားဆီးသည်။
制止	တားဆီးရပ်တန့်စေသည်	ရဲများသည် ပဋိပက္ခကို အချိန်မီ တားဆီးရပ်တန့်စေခဲ့သည်။
志气	ရည်မှန်းချက်စိတ်ဓာတ်	လူငယ်များသည် ရည်မှန်းချက်စိတ်ဓာတ် ရှိရမည်။
智力	ဉာဏ်ရည်	ကစားနည်းများသည် ဉာဏ်ရည်ကို လေ့ကျင့်ပေးနိုင်သည်။
智能	ဉာဏ်ရည်မြင့်	ဉာဏ်ရည်မြင့် ကိရိယာများသည် ပို၍ ပျံ့နှံ့လာသည်။
智商	ဉာဏ်ရည်ညွှန်းကိန်း	ဉာဏ်ရည်ညွှန်းကိန်းသည် အရာအားလုံးကို မဆုံးဖြတ်နိုင်ပါ။
治安	အများပြည်သူလုံခြုံရေး	ရပ်ကွက်၏ အများပြည်သူလုံခြုံရေးသည် သိသိသာသာ တိုးတက်လာသည်။
治理	စီမံအုပ်ချုပ်ပြုပြင်သည်	အစိုးရသည် မြစ်ကြောင်းစီမံအုပ်ချုပ်ပြုပြင်မှုကို အားဖြည့်ခဲ့သည်။
滞留	ပိတ်မိနေသည်	နှင်းကြီးသောကြောင့် ခရီးသည်များသည် လေဆိပ်တွင် ပိတ်မိနေခဲ့ကြသည်။
致辞	မိန့်ခွန်းပြောသည်	ကျောင်းအုပ်ကြီးသည် အခမ်းအနားတွင် မိန့်ခွန်းပြောခဲ့သည်။
致力	အာရုံစိုက်ကြိုးပမ်းသည်	အဖွဲ့သည် နည်းပညာဆန်းသစ်တီထွင်မှုတွင် အာရုံစိုက်ကြိုးပမ်းနေသည်။
致使	ဖြစ်စေသည်	စီမံခန့်ခွဲမှုအမှားသည် စီမံကိန်းနောက်ကျမှုကို ဖြစ်စေခဲ့သည်။
中断	ပြတ်တောက်သည်	မိုးသည်းထန်စွာ ရွာသဖြင့် ဆက်သွယ်ရေး ပြတ်တောက်သွားသည်။
中立	ကြားနေ	ထိုနိုင်ငံသည် ကြားနေသဘောထားကို ထိန်းသိမ်းထားသည်။
中央	အလယ်ဗဟို	ရေပန်းသည် ရင်ပြင်အလယ်ဗဟိုတွင် တည်ရှိသည်။
忠诚	သစ္စာရှိသော	ဝန်ထမ်းများသည် ကုမ္ပဏီအပေါ် အလွန် သစ္စာရှိကြသည်။
忠实	သစ္စာရှိသော; အားပေးမြဲသော	သူသည် ဤသတင်းစာ၏ အားပေးမြဲသော စာဖတ်သူဖြစ်သည်။
终点	ပန်းတိုင်	ပန်းတိုင်သည် ရှေ့ဘက်တွင် ရှိနေသည်။
终究	နောက်ဆုံးတွင်	ပြဿနာသည် နောက်ဆုံးတွင် ဖြေရှင်းသွားမည်။
终身	တစ်သက်တာ	သူသည် တစ်သက်တာ ပညာရေးလုပ်ငန်းတွင် လုပ်ကိုင်ရန် ဆုံးဖြတ်ခဲ့သည်။
终止	ရပ်ဆိုင်းသည်	စာချုပ်သည် နောက်လကုန်တွင် ရပ်ဆိုင်းမည်။
衷心	ရင်ထဲကနေ	သင်၏ ကူညီမှုအတွက် ရင်ထဲကနေ ကျေးဇူးတင်ပါသည်။
种子	မျိုးစေ့	လယ်သမားသည် မျိုးစေ့အသစ်များကို ကြဲခဲ့သည်။
种族	လူမျိုးစု	ဥပဒေသည် လူမျိုးစုခွဲခြားဆက်ဆံမှုကို တားမြစ်ထားသည်။
肿瘤	အကျိတ်	ဆရာဝန်သည် မဆိုးရွားသော အကျိတ်တစ်ခုကို တွေ့ရှိခဲ့သည်။
众所周知	လူတိုင်းသိကြသည့်အတိုင်း	လူတိုင်းသိကြသည့်အတိုင်း ရေသည် အရေးကြီးသည်။
种植	စိုက်ပျိုးသည်	ဤနေရာသည် စပျစ်သီး စိုက်ပျိုးရန် သင့်လျော်သည်။
重心	အဓိကအာရုံစိုက်ရာ	အလုပ်၏ အဓိကအာရုံစိုက်ရာသည် ဝန်ဆောင်မှုဘက်သို့ ပြောင်းသွားသည်။
周边	ပတ်ဝန်းကျင်	ကျောင်းပတ်ဝန်းကျင်တွင် ယာဉ်အသွားအလာ ကြပ်တည်းသည်။
周密	အသေးစိတ်စနစ်ကျသော	သူတို့သည် အသေးစိတ်စနစ်ကျသော အစီအစဉ်ကို ရေးဆွဲခဲ့ကြသည်။
