simplified	TE	example_TE	KN	example_KN	ML	example_ML
整理	సర్దడం; క్రమబద్ధం చేయడం	దయచేసి బల్లపై ఉన్న పుస్తకాలను సర్దండి.	ಸವರಿಸುವುದು; ಸರಿಪಡಿಸುವುದು	ದಯವಿಟ್ಟು ಮೇಜಿನ ಮೇಲಿನ ಪುಸ್ತಕಗಳನ್ನು ಸವರಿಸಿ.	ഒഴുക്കുക; ക്രമപ്പെടുത്തുക	ദയവായി മേശപ്പുറത്തെ പുസ്തകങ്ങൾ ക്രമപ്പെടുത്തൂ.
正常	సాధారణమైన; సరిగా	మరమ్మత్తు తర్వాత నా కంప్యూటర్ మళ్లీ సరిగ్గా పని చేస్తోంది.	ಸಾಮಾನ್ಯ; ಸರಿಯಾಗಿ	ಸರಿಪಡಿಸಿದ ನಂತರ ನನ್ನ ಕಂಪ್ಯೂಟರ್ ಮತ್ತೆ ಸಾಮಾನ್ಯವಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತಿದೆ.	സാധാരണമായ; ശരിയായി	റിപ്പെയറിന് ശേഷം എന്റെ കമ്പ്യൂട്ടർ വീണ്ടും സാധാരണയായി പ്രവർത്തിക്കുന്നു.
正好	సరిగ్గా; అచ్చంగా	నువ్వు చెప్పింది నేను అర్థం చేసుకున్న దానికి సరిగ్గా విరుద్ధం.	ಸರಿಯಾಗಿ; ಅಚ್ಚುಕಟ್ಟಾಗಿ	ನೀನು ಹೇಳಿದ್ದು ನಾನು ಅರ್ಥಮಾಡಿಕೊಂಡದ್ದಕ್ಕೆ ಸರಿಯಾಗಿ ವಿರುದ್ಧ.	കൃത്യമായി; ശരിയായി	നീ പറഞ്ഞത് ഞാൻ മനസ്സിലാക്കിയതിന്റെ കൃത്യമായ വിരുദ്ധമാണ്.
正确	సరైన	నీ తీర్పు పూర్తిగా సరైనది.	ಸರಿಯಾದ	ನಿನ್ನ ತೀರ್ಪು ಸಂಪೂರ್ಣವಾಗಿ ಸರಿಯಾಗಿದೆ.	ശരിയായ	നിന്റെ വിധി പൂർണ്ണമായും ശരിയാണ്.
正式	అధికారికమైన	ఇప్పుడు పోటీ అధికారికంగా ప్రారంభమవుతోంది.	ಅಧಿಕೃತ; ಔಪಚಾರಿಕ	ಈಗ ಪಂದ್ಯ ಅಧಿಕೃತವಾಗಿ ಆರಂಭವಾಗುತ್ತಿದೆ.	ഔദ്യോഗികമായ; ഔപചാരികമായ	ഇപ്പോൾ മത്സരം ഔദ്യോഗികമായി ആരംഭിക്കുന്നു.
证明	నిరూపించడం; సాక్ష్యం	వాస్తవాలు అతను సరైనవాడని నిరూపించాయి.	ಸಾಬೀತುಮಾಡುವುದು; ಸಾಕ್ಷಿ	ತಥ್ಯಗಳು ಅವನು ಸರಿಯೆಂದು ಸಾಬೀತು ಮಾಡಿವೆ.	തെളിയിക്കുക; തെളിവ്	വസ്തുതകൾ അവൻ ശരിയാണെന്ന് തെളിയിച്ചു.
之	లోని; యొక్క	ఇది చైనీస్ సంస్కృతిలో ఒక భాగం.	ಒಂದರ; ಇದರಲ್ಲೊಂದು	ಇದು ಚೀನೀ ಸಂಸ್ಕೃತಿಯೊಂದರ ಭಾಗ.	ഒന്നിൽ ഒന്ന്; എന്നതിന്റെ	ഇത് ചൈനീസ് സംസ്കാരത്തിന്റെ ഒരു ഭാഗമാണ്.
支持	మద్దతు ఇవ్వడం	మన ఇద్దరం ఒకరినొకరు మద్దతు ఇవ్వాలి.	ಬೆಂಬಲಿಸುವುದು	ನಾವುಿಬ್ಬರೂ ಒಬ್ಬರನ್ನೊಬ್ಬರು ಬೆಂಬಲಿಸಬೇಕು.	പിന്തുണയ്ക്കുക	നമ്മൾ രണ്ടുപേരും പരസ്പരം പിന്തുണയ്ക്കണം.
知识	జ్ఞానం	చదవడం ద్వారా నేను చాలా జ్ఞానం పొందాను.	ಜ್ಞಾನ	ಓದುವುದರಿಂದ ನಾನು ಬಹಳಷ್ಟು ಜ್ಞಾನ ಪಡೆದಿದ್ದೇನೆ.	അറിവ്	വായനയിൽ നിന്ന് ഞാൻ വളരെ അറിവ് നേടി.
值得	విలువైనది; చేయదగినది	ఈ నవల చదవదగినది.	ಮೌಲ್ಯವಿರುವ; ತಕ್ಕದ್ದು	ಈ ಕಾದಂಬರಿ ಓದಲು ತಕ್ಕದ್ದು.	വിലമതിക്കുക; യോഗ്യമായ	ഈ നോവൽ വായിക്കാൻ വിലമതിക്കുന്നതാണ്.
植物	మొక్క	ఈ రకమైన మొక్కకు చాలా సూర్యకాంతి అవసరం.	ಸಸ್ಯ	ಈ ರೀತಿಯ ಸಸ್ಯಕ್ಕೆ ಬಹಳಷ್ಟು ಸೂರ್ಯನ ಬೆಳಕು ಬೇಕು.	സസ്യം; ചെടി	ഈ തരത്തിലുള്ള ചെടിക്ക് കൂടുതൽ സൂര്യപ്രകാശം വേണം.
直接	నేరుగా	పని ముగిసిన తర్వాత అతను నేరుగా ఇంటికి వెళ్లాడు.	ನೇರವಾಗಿ	ಕೆಲಸ ಮುಗಿದ ನಂತರ ಅವನು ನೇರವಾಗಿ ಮನೆಗೆ ಹೋದನು.	നേരിട്ട്; നേരെ	ജോലി കഴിഞ്ഞ ശേഷം അവൻ നേരെ വീട്ടിലേക്കു പോയി.
职业	వృత్తి	నీ ఆదర్శ వృత్తి ఏమిటి?	ವೃತ್ತಿ	ನಿನ್ನ ಆದರ್ಶ ವೃತ್ತಿ ಯಾವುದು?	തൊഴിൽ; വൃത്തി	നിന്റെ ആദർശ തൊഴിൽ എന്താണ്?
只好	తప్పనిసరిగా చేయాల్సి రావడం	వర్షం చాలా బలంగా పడింది, మేము ఇంట్లోనే ఉండాల్సి వచ్చింది.	ಬೇರೆ ಮಾರ್ಗವಿಲ್ಲದೆ ಮಾಡುವುದು	ಮಳೆ ತುಂಬಾ ಜೋರಾಗಿತ್ತು, ನಾವು ಮನೆಯಲ್ಲಿ ಉಳಿಯಲೇಬೇಕಾಯಿತು.	മറ്റുവഴിയില്ലാതെ ചെയ്യുക	മഴ വളരെ കനത്തതായതിനാൽ ഞങ്ങൾ വീട്ടിൽ തന്നെ ഇരിക്കേണ്ടിവന്നു.
只要	అంతవరకు; చేసినంతకాలం	నువ్వు కష్టపడితే ఈ పనిని తప్పకుండా బాగా చేయగలవు.	ಮಾತ್ರ ಸಾಕು; যতವರೆಗೆ	ನೀನು ಪರಿಶ್ರಮಪಟ್ಟರೆ ಈ ಕೆಲಸವನ್ನು ಖಂಡಿತವಾಗಿ ಚೆನ್ನಾಗಿ ಮಾಡಬಹುದು.	മതി; എത്രത്തോളം ആണെങ്കിലും	നീ പരിശ്രമിക്കുന്നുവെങ്കിൽ ഈ കാര്യം നന്നായി ചെയ്യാൻ നിനക്ക് തീർച്ചയായും കഴിയും.
指	చూపించడం; సూచించడం	నా తప్పును చూపించినందుకు ధన్యవాదాలు.	ತೋರಿಸುವುದು; ಸೂಚಿಸುವುದು	ನನ್ನ ತಪ್ಪನ್ನು ತೋರಿಸಿದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು.	കാണിക്കുക; ചൂണ്ടിക്കാണിക്കുക	എന്റെ തെറ്റ് ചൂണ്ടിക്കാട്ടിയതിന് നന്ദി.
至少	కనీసం	ఈ భవనం కనీసం వంద మీటర్లు ఎత్తు ఉంటుంది.	ಕನಿಷ್ಠ	ಈ ಕಟ್ಟಡ ಕನಿಷ್ಠ ನೂರು ಮೀಟರ್ ಎತ್ತರ ಇದೆ.	കുറഞ്ഞത്	ഈ കെട്ടിടം കുറഞ്ഞത് നൂറ് മീറ്റർ ഉയരമുണ്ട്.
质量	నాణ్యత	ఈ చెప్పుల నాణ్యత చాలా బాగుంది.	ಗುಣಮಟ್ಟ	ಈ ಜೋಡಿ ಚಪ್ಪಲಿಗಳ ಗುಣಮಟ್ಟ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ.	ഗുണനിലവാരം	ഈ ചെരുപ്പുകളുടെ ഗുണനിലവാരം വളരെ നല്ലതാണ്.
重	భారీ; బరువైన	ఈ పెట్టె చాలా బరువుగా ఉంది.	ಭಾರಿ; ತೂಕವಾದ	ಈ ಪೆಟ್ಟಿಗೆ ತುಂಬಾ ತೂಕವಾಗಿದೆ.	ഭാരമുള്ള	ഈ പെട്ടി വളരെ ഭാരമുള്ളതാണ്.
重点	ముఖ్యాంశం; కేంద్ర బిందువు	అతను ఇప్పుడే చెప్పిందే సమస్యలోని ముఖ్యాంశం.	ಮುಖ್ಯಾಂಶ; ಕೇಂದ್ರ	ಅವನು ಇತ್ತೀಚೆಗಷ್ಟೇ ಹೇಳಿದ್ದೇ ಸಮಸ್ಯೆಯ ಮುಖ್ಯಾಂಶ.	പ്രധാന വിഷയം; കേന്ദ്രീകരണം	അവൻ ഇപ്പോൾ പറഞ്ഞതുതന്നെയാണ് പ്രശ്നത്തിന്റെ പ്രധാന കാര്യം.
重视	ప్రాముఖ్యత ఇవ్వడం	తల్లిదండ్రులు పిల్లల విద్యకు చాలా ప్రాముఖ్యత ఇస్తారు.	ಮಹತ್ವ ನೀಡುವುದು	ತಾಯಿ ತಂದೆಯರು ಮಕ್ಕಳ ಶಿಕ್ಷಣಕ್ಕೆ ತುಂಬಾ ಮಹತ್ವ ಕೊಡುತ್ತಾರೆ.	പ്രാധാന്യം നൽകുക	മാതാപിതാക്കൾ കുട്ടികളുടെ വിദ്യാഭ്യാസത്തിന് വലിയ പ്രാധാന്യം നൽകുന്നു.
周围	చుట్టూ; పరిసరాలు	పాఠశాల చుట్టూ చాలా దుకాణాలు ఉన్నాయి.	ಸುತ್ತಮುತ್ತ; ಸುತ್ತಲು	ಶಾಲೆಯ ಸುತ್ತಮುತ್ತ ಅನೇಕ ಅಂಗಡಿಗಳಿವೆ.	ചുറ്റും; പരിസരം	സ്കൂളിനോട് ചുറ്റും നിരവധി കടകൾ ഉണ്ട്.
主意	ఆలోచన; ఉపాయం	నీకు ఏమైనా మంచి ఆలోచన ఉంటే చెప్పి వినిపించు.	ಆಲೋಚನೆ; ಉಪಾಯ	ನಿನಗೆ ಯಾವುದಾದರೂ ಒಳ್ಳೆಯ ಆಲೋಚನೆ ಇದ್ದರೆ ಹೇಳು ಕೇಳೋಣ.	ആലോചന; ആശയം	നിനക്ക് നല്ല ആശയമുണ്ടെങ്കിൽ പറയൂ, കേൾക്കാം.
祝贺	అభినందించడం; అభినందనలు	మీరు మంచి ఫలితాలు సాధించినందుకు అభినందనలు.	ಅಭಿನಂದಿಸುವುದು; ಅಭಿನಂದನೆ	ನೀವು ಒಳ್ಳೆಯ ಫಲಿತಾಂಶ ಪಡೆದಿದ್ದಕ್ಕೆ ಅಭಿನಂದನೆಗಳು.	അഭിനന്ദിക്കുക; അഭിനന്ദനങ്ങൾ	നല്ല ഫലങ്ങൾ നേടിയതിന് നിങ്ങളെ അഭിനന്ദിക്കുന്നു.
著名	ప్రసిద్ధమైన	అతను ఒక ప్రసిద్ధ నటుడు.	ಪ್ರಸಿದ್ಧ	ಅವನು ಒಬ್ಬ ಪ್ರಸಿದ್ಧ ನಟ.	പ്രസിദ്ധമായ	അവൻ പ്രശസ്തനായ നടനാണ്.
专门	ప్రత్యేకంగా	నేను ప్రత్యేకంగా నిన్ను చూడటానికి వచ్చాను.	ವಿಶೇಷವಾಗಿ	ನಾನು ವಿಶೇಷವಾಗಿ ನಿನ್ನನ್ನು ನೋಡಲು ಬಂದಿದ್ದೇನೆ.	പ്രത്യേകിച്ച്	ഞാൻ പ്രത്യേകിച്ച് നിന്നെ കാണാനാണ് വന്നത്.
专业	ప్రధాన విషయం; అధ్యయన రంగం	నేను విశ్వవిద్యాలయంలో చట్టం ప్రధానంగా చదువుతున్నాను.	ಪ್ರಮುಖ ವಿಷಯ; ಅಧ್ಯಯನ ಕ್ಷೇತ್ರ	ನಾನು ವಿಶ್ವವಿದ್ಯಾಲಯದಲ್ಲಿ ಕಾನೂನು ವಿಷಯವನ್ನು ಓದುತ್ತಿದ್ದೇನೆ.	വിഷയം; പഠനമേഖല	ഞാൻ സർവകലാശാലയിൽ നിയമവിഷയം പഠിക്കുന്നു.
转	తిరగడం	ముందున్న మొదటి కూడలిలో ఎడమకు తిరిగితే ఆసుపత్రి కనిపిస్తుంది.	ತಿರುಗುವುದು	ಮುಂದಿನ ಮೊದಲ ಚೌಕದಲ್ಲಿ ಎಡಕ್ಕೆ ತಿರುಗಿದರೆ ಆಸ್ಪತ್ರೆಗೆ ಕಾಣಿಸುತ್ತದೆ.	തിരിയുക	മുന്നിലെ ആദ്യ ചാവടിയിൽ ഇടത്തേക്ക് തിരിഞ്ഞാൽ ആശുപത്രി കാണാം.
赚	సంపాదించడం; లాభం పొందడం	అతను వ్యాపారం చేసి చాలా డబ్బు సంపాదించాడు.	ಸಂಪಾದಿಸುವುದು; ಲಾಭ ಗಳಿಸುವುದು	ಅವನು ವ್ಯಾಪಾರ ಮಾಡಿ ಬಹಳ ಹಣ ಸಂಪಾದಿಸಿದನು.	സമ്പാദിക്കുക; ലാഭം നേടുക	അവൻ വ്യാപാരം നടത്തി ഏറെ പണം സമ്പാദിച്ചു.
准确	ఖచ్చితమైన	నీ సమాధానం చాలా ఖచ్చితంగా ఉంది.	ನಿಖರ; ಸರಿಯಾದ	ನಿನ್ನ ಉತ್ತರ ತುಂಬಾ ನಿಖರವಾಗಿದೆ.	കൃത്യമായ	നിന്റെ ഉത്തരം വളരെ കൃത്യമാണ്.
准时	సమయానికి	సమావేశం సమయానికి ప్రారంభమైంది.	ಸಮಯಕ್ಕೆ; ಸಮಯಪಾಲಕ	ಸಭೆ ಸಮಯಕ್ಕೆ ಆರಂಭವಾಯಿತು.	സമയത്ത്; സമയനിഷ്ഠയോടെ	യോഗം സമയത്ത് ആരംഭിച്ചു.
仔细	జాగ్రత్తగా; శ్రద్ధగా	ఆమె పనులు చాలా జాగ్రత్తగా చేస్తుంది.	ಜಾಗರೂಕ; ಎಚ್ಚರಿಕೆಯಿಂದ	ಅವಳು ಕೆಲಸಗಳನ್ನು ತುಂಬಾ ಜಾಗರೂಕತೆಯಿಂದ ಮಾಡುತ್ತಾಳೆ.	ശ്രദ്ധയോടെ; സൂക്ഷ്മമായ	അവൾ കാര്യങ്ങൾ വളരെ ശ്രദ്ധയോടെ ചെയ്യുന്നു.
自然	ప్రకృతి; సహజమైన	మనం సహజ పర్యావరణాన్ని కాపాడాలి.	ಪ್ರಕೃತಿ; ಸಹಜ	ನಾವು ಪ್ರಕೃತಿಯ ಪರಿಸರವನ್ನು ರಕ್ಷಿಸಬೇಕು.	പ്രകൃതി; സ്വാഭാവികം	നമുക്ക് പ്രകൃതിപരിസ്ഥിതി സംരക്ഷിക്കണം.
自信	ఆత్మవిశ్వాసం	అతనికి చాలా ఆత్మవిశ్వాసం ఉంది, ఇతరులతో పోటీ పడటం ఇష్టం.	ಆತ್ಮವಿಶ್ವಾಸ	ಅವನಿಗೆ ತುಂಬಾ ಆತ್ಮವಿಶ್ವಾಸವಿದೆ, ಇತರರೊಂದಿಗೆ ಸ್ಪರ್ಧಿಸಲು ಇಷ್ಟ.	ആത്മവിശ്വാസം	അവൻ വളരെ ആത്മവിശ്വാസമുള്ളവനാണ്, മറ്റുള്ളവരോട് മത്സരിക്കാൻ ഇഷ്ടപ്പെടുന്നു.
