simplified	KN	example_KN
迎接	ಸ್ವಾಗತಿಸುವುದು; ಬರಮಾಡಿಕೊಳ್ಳುವುದು	ಅತಿಥಿಗಳನ್ನು ಸ್ವಾಗತಿಸಲು ನಾವು ವಿಮಾನ ನಿಲ್ದಾಣಕ್ಕೆ ಹೋದೆವು.
影子	ನೆರಳು	ಅವನ ನೆರಳು ಬೀದಿ ದೀಪದ ಕೆಳಗೆ ಇದೆ.
应付	ನಿಭಾಯಿಸುವುದು	ಅವನು ಈ ಸಮಸ್ಯೆಯನ್ನು ನಿಭಾಯಿಸಬಲ್ಲನು.
应用	ಅನ್ವಯಿಸುವುದು; ಬಳಕೆ	ಈ ವಿಧಾನವನ್ನು ಬೋಧನೆಯಲ್ಲಿ ಅನ್ವಯಿಸಬಹುದು.
硬	ಗಟ್ಟಿಯಾದ	ಈ ಕುರ್ಚಿ ತುಂಬಾ ಗಟ್ಟಿಯಾಗಿದೆ.
硬件	ಹಾರ್ಡ್‌ವೇರ್	ಈ ಕಂಪ್ಯೂಟರಿನ ಹಾರ್ಡ್‌ವೇರ್ ಚೆನ್ನಾಗಿದೆ.
拥抱	ಅಪ್ಪಿಕೊಳ್ಳುವುದು	ಮಗು ತಾಯಿಯನ್ನು ಅಪ್ಪಿಕೊಳ್ಳಲು ಓಡಿಬಂತು.
拥挤	ಗದ್ದಲದ; ತುಂಬಿಕೊಂಡಿರುವ	ಬೆಳಗಿನ ಗದ್ದಲದ ಸಮಯದಲ್ಲಿ ಮೆಟ್ರೋ ತುಂಬಾ ಕಿಕ್ಕಿರಿದಿರುತ್ತದೆ.
勇气	ಧೈರ್ಯ	ತನ್ನ ತಪ್ಪನ್ನು ಒಪ್ಪಿಕೊಳ್ಳುವ ಧೈರ್ಯ ಅವನಿಗಿದೆ.
用功	ಪರಿಶ್ರಮದಿಂದ ಓದುವುದು	ಅವಳು ತುಂಬಾ ಪರಿಶ್ರಮದಿಂದ ಓದುತ್ತಾಳೆ.
用途	ಬಳಕೆ; ಉಪಯೋಗ	ಈ ವಸ್ತುವಿಗೆ ಅನೇಕ ಉಪಯೋಗಗಳಿವೆ.
优惠	ರಿಯಾಯಿತಿ; ಅನುಕೂಲಕರ	ಈ ಅಂಗಡಿಯಲ್ಲಿ ಇಂದು ರಿಯಾಯಿತಿ ಇದೆ.
优美	ಸುಂದರ; ನಯವಾದ	ಇಲ್ಲಿನ ಪರಿಸರ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.
优势	ಲಾಭ; ಮೇಲುಗೈ	ಅವನ ಮೇಲುಗೈ ಸಮೃದ್ಧ ಅನುಭವ.
悠久	ದೀರ್ಘಕಾಲದ; ಪುರಾತನ	ಚೀನಾಕ್ಕೆ ದೀರ್ಘ ಇತಿಹಾಸವಿದೆ.
油炸	ಎಣ್ಣೆಯಲ್ಲಿ ಕರಿಯುವುದು	ನಾನು ಕರಿದ ಆಹಾರವನ್ನು ವಿರಳವಾಗಿ ತಿನ್ನುತ್ತೇನೆ.
游览	ಪ್ರವಾಸ ಮಾಡುವುದು; ನೋಡಲು ಹೋಗುವುದು	ನಾವು ನಾಳೆ ನಿಷಿದ್ಧ ನಗರವನ್ನು ನೋಡಲು ಹೋಗುತ್ತೇವೆ.
犹豫	ಹಿಂಜರಿಯುವುದು	ಉತ್ತರಿಸುವ ಮೊದಲು ಅವನು ಸ್ವಲ್ಪ ಹಿಂಜರಿದನು.
有利	ಅನುಕೂಲಕರ; ಲಾಭಕರ	ಈ ಪರಿಸ್ಥಿತಿ ನಮಗೆ ಅನುಕೂಲಕರವಾಗಿದೆ.
幼儿园	ಶಿಶುವಿಹಾರ	ಮಗು ಮುಂದಿನ ವರ್ಷ ಶಿಶುವಿಹಾರಕ್ಕೆ ಹೋಗುತ್ತದೆ.
娱乐	ಮನರಂಜನೆ	ಚಲನಚಿತ್ರ ನೋಡುವುದು ಒಂದು ರೀತಿಯ ಮನರಂಜನೆ.
与其	ಹೀಗೆ ಮಾಡುವುದಕ್ಕಿಂತ	ದೂರು ಹೇಳುವುದಕ್ಕಿಂತ ಕ್ರಮ ಕೈಗೊಳ್ಳುವುದು ಒಳ್ಳೆಯದು.
语气	ಮಾತಿನ ಧಾಟಿ	ಅವನ ಮಾತಿನ ಧಾಟಿ ತುಂಬಾ ಮೃದುವಾಗಿದೆ.
玉米	ಜೋಳ; ಮೆಕ್ಕೆಜೋಳ	ರಾತ್ರಿ ಊಟಕ್ಕೆ ಮೆಕ್ಕೆಜೋಳದ ಸೂಪ್ ಇದೆ.
预报	ಮುನ್ಸೂಚನೆ	ಹವಾಮಾನ ಮುನ್ಸೂಚನೆ ನಾಳೆ ಮಳೆ ಬರುತ್ತದೆ ಎನ್ನುತ್ತದೆ.
预订	ಮುಂಗಡ ಕಾಯ್ದಿರಿಸುವುದು	ನಾನು ಹೋಟೆಲ್ ಅನ್ನು ಈಗಾಗಲೇ ಮುಂಗಡ ಕಾಯ್ದಿರಿಸಿದ್ದೇನೆ.
预防	ತಡೆಗಟ್ಟುವುದು; ಮುನ್ನೆಚ್ಚರಿಕೆ ವಹಿಸುವುದು	ಆಗಾಗ ಕೈ ತೊಳೆಯುವುದು ಜಲದೋಷವನ್ನು ತಡೆಗಟ್ಟಬಹುದು.
元旦	ಹೊಸ ವರ್ಷದ ದಿನ	ಹೊಸ ವರ್ಷದ ದಿನ ನಮಗೆ ಒಂದು ದಿನ ರಜೆ ಇದೆ.
原料	ಮೂಲ ವಸ್ತು	ರೊಟ್ಟಿಯ ಮುಖ್ಯ ಮೂಲ ವಸ್ತು ಹಿಟ್ಟು.
原则	ಸಿದ್ಧಾಂತ; ತತ್ವ	ಒಬ್ಬ ಮನುಷ್ಯನಿಗೆ ತತ್ವಗಳು ಇರಬೇಕು.
员工	ನೌಕರರು; ಸಿಬ್ಬಂದಿ	ಕಂಪನಿಯಲ್ಲಿ ಮೂರು ನೂರು ನೌಕರರಿದ್ದಾರೆ.
圆	ವೃತ್ತ; ಗೋಳಾಕಾರ	ಚಂದ್ರನು ದೊಡ್ಡದಾಗಿ ಗೋಳಾಕಾರವಾಗಿ ಕಾಣುತ್ತಾನೆ.
愿望	ಆಸೆ; ಬಯಕೆ	ಲೋಕದ ಸುತ್ತ ಪ್ರವಾಸ ಮಾಡುವುದು ಅವನ ಆಸೆ.
乐器	ವಾದ್ಯ	ಅವಳು ಹಲವಾರು ವಾದ್ಯಗಳನ್ನು ವಾದಿಸಬಲ್ಲಳು.
晕	ತಲೆಸುತ್ತು; ಗೊಂದಲ	ದೋಣಿಯಲ್ಲಿ ಹೋಗುವಾಗ ನನಗೆ ಸ್ವಲ್ಪ ತಲೆಸುತ್ತುತ್ತದೆ.
运气	ಅದೃಷ್ಟ	ಇಂದು ನನ್ನ ಅದೃಷ್ಟ ಚೆನ್ನಾಗಿದೆ.
运输	ಸಾರಿಗೆ; ಸಾಗಣೆ	ಈ ಸರಕುಗಳನ್ನು ರೈಲಿನಲ್ಲಿ ಸಾಗಿಸಬೇಕು.
运用	ಬಳಸುವುದು; ಉಪಯೋಗಿಸುವುದು	ದಯವಿಟ್ಟು ಈ ಪದಗಳನ್ನು ಸರಿಯಾಗಿ ಬಳಸಿ.
灾害	ವಿಪತ್ತು	ಪ್ರವಾಹ ಒಂದು ರೀತಿಯ ಪ್ರಕೃತಿ ವಿಪತ್ತು.
再三	ಮತ್ತೆ ಮತ್ತೆ	ಶಿಕ್ಷಕರು ಮರುಪಠಣ ಮಾಡಲು ನಮಗೆ ಮತ್ತೆ ಮತ್ತೆ ನೆನಪಿಸಿದರು.
在乎	ಗಮನ ಕೊಡುವುದು; ಪರಿಗಣಿಸುವುದು	ಅವನು ಸ್ನೇಹಿತರ ಅಭಿಪ್ರಾಯಗಳನ್ನು ಬಹಳ ಪರಿಗಣಿಸುತ್ತಾನೆ.
在于	ಇರುವುದು; ಅವಲಂಬಿಸುವುದು	ಯಶಸ್ಸು ಸ್ಥಿರ ಪರಿಶ್ರಮದಲ್ಲಿದೆ.
赞成	ಒಪ್ಪುವುದು; ಬೆಂಬಲಿಸುವುದು	ನಾನು ನಿಮ್ಮ ಸಲಹೆಯನ್ನು ಒಪ್ಪುತ್ತೇನೆ.
赞美	ಪ್ರಶಂಸಿಸುವುದು	ಎಲ್ಲರೂ ಅವಳ ಧೈರ್ಯವನ್ನು ಪ್ರಶಂಸಿಸಿದರು.
糟糕	ಕೆಟ್ಟ; ಭಯಾನಕ	ಇಂದಿನ ಹವಾಮಾನ ನಿಜವಾಗಿಯೂ ಕೆಟ್ಟಾಗಿದೆ.
造成	ಕಾರಣವಾಗುವುದು; ಉಂಟುಮಾಡುವುದು	ಭಾರೀ ಮಳೆ ಸಂಚಾರ ದಟ್ಟಣೆಗೆ ಕಾರಣವಾಯಿತು.
则	ಅದಾದರೆ; ನಿಯಮ	ಪರಿಶ್ರಮಿಸಿದರೆ ಪ್ರಗತಿ ಇರುತ್ತದೆ.
责备	ದೂಷಿಸುವುದು; ಗದರಿಸುವುದು	ಶಿಕ್ಷಕರು ಅವನನ್ನು ಗದರಿಸಲಿಲ್ಲ.
摘	ಕೀಳುವುದು; ಕಿತ್ತುಕೊಳ್ಳುವುದು	ಅವಳು ತೋಟದಲ್ಲಿ ಒಂದು ಹೂವನ್ನು ಕಿತ್ತುಕೊಂಡಳು.
窄	ಕಿರಿದಾದ	ಈ ರಸ್ತೆ ತುಂಬಾ ಕಿರಿದಾಗಿದೆ.
粘贴	ಅಂಟಿಸುವುದು	ದಯವಿಟ್ಟು ಫೋಟೋವನ್ನು ಇಲ್ಲಿ ಅಂಟಿಸಿ.
展开	ಆರಂಭಿಸುವುದು; ವಿಸ್ತರಿಸುವುದು	ಚರ್ಚೆ ಬೇಗನೆ ಆರಂಭವಾಯಿತು.
展览	ಪ್ರದರ್ಶನ	ಸಂಗ್ರಹಾಲಯದಲ್ಲಿ ಹೊಸ ಪ್ರದರ್ಶನ ಇದೆ.
占	ಸ್ಥಳ ಹಿಡಿಯುವುದು; ಆಕ್ರಮಿಸುವುದು	ಈ ಮೇಜು ಜಾಗ ಹಿಡಿಯುತ್ತದೆ.
战争	ಯುದ್ಧ	ಯುದ್ಧ ಜನರಿಗೆ ನೋವು ತರುತ್ತದೆ.
掌握	ಆಳವಾಗಿ ತಿಳಿದುಕೊಳ್ಳುವುದು; ಹಿಡಿತ ಸಾಧಿಸುವುದು	ಅವನು ಮೂಲ ವ್ಯಾಕರಣವನ್ನು ಈಗಾಗಲೇ ಆಳವಾಗಿ ತಿಳಿದುಕೊಂಡಿದ್ದಾನೆ.
涨	ಏರುವುದು; ಹೆಚ್ಚಾಗುವುದು	ಇತ್ತೀಚೆಗೆ ಬಾಡಿಗೆ ಮತ್ತೆ ಹೆಚ್ಚಾಗಿದೆ.
长辈	ಹಿರಿಯರು	ಹೊಸ ವರ್ಷದಲ್ಲಿ ಹಿರಿಯರಿಗೆ ಶುಭಾಶಯ ಹೇಳಬೇಕು.
账户	ಖಾತೆ	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ಖಾತೆಯನ್ನು ಪರಿಶೀಲಿಸಿ.
招待	ಅತಿಥಿಗಳನ್ನು ಬರಮಾಡಿಕೊಳ್ಳುವುದು	ಯಜಮಾನರು ಅತಿಥಿಗಳನ್ನು ಆತ್ಮೀಯವಾಗಿ ಬರಮಾಡಿಕೊಂಡರು.
着火	ಬೆಂಕಿ ಹೊತ್ತಿಕೊಳ್ಳುವುದು	ಅಡುಗೆಮನೆಯಲ್ಲಿ ಏಕಾಏಕಿ ಬೆಂಕಿ ಹೊತ್ತಿಕೊಂಡಿತು.
着凉	ಜಲದೋಷ ಹಿಡಿಯುವುದು	ಚಳಿ ಇದೆ, ಜಲದೋಷ ಹಿಡಿಯದಂತೆ ನೋಡಿಕೊಳ್ಳಿ.
召开	ಸಭೆ ಕರೆಯುವುದು; ನಡೆಸುವುದು	ಶಾಲೆ ನಾಳೆ ಸಭೆ ನಡೆಸಲಿದೆ.
照常	ಹಳೆಯಂತೆ; ಎಂದಿನಂತೆ	ಅಂಗಡಿ ನಾಳೆ ಎಂದಿನಂತೆ ತೆರೆಯುತ್ತದೆ.
哲学	ತತ್ವಶಾಸ್ತ್ರ	ಅವನು ವಿಶ್ವವಿದ್ಯಾಲಯದಲ್ಲಿ ತತ್ವಶಾಸ್ತ್ರ ಓದಿದನು.
珍惜	ಮೌಲ್ಯಮಾಡುವುದು; ಕಾಪಾಡಿಕೊಳ್ಳುವುದು	ನಾವು ಸಮಯವನ್ನು ಮೌಲ್ಯಮಾಡಬೇಕು.
真实	ನಿಜವಾದ	ಈ ಕಥೆ ನಿಜವಾಗಿದೆ.
针对	ಗುರಿಯಾಗಿರುವ; ಉದ್ದೇಶಿಸಿದ	ಈ ಸಲಹೆ ಹೊಸ ವಿದ್ಯಾರ್ಥಿಗಳಿಗಾಗಿ ಉದ್ದೇಶಿಸಲಾಗಿದೆ.
诊断	ರೋಗನಿರ್ಣಯ	ವೈದ್ಯರು ಬೇಗನೆ ರೋಗನಿರ್ಣಯ ಮಾಡಿದರು.
振动	ಕಂಪನ	ಫೋನ್ ಮೇಜಿನ ಮೇಲೆ ಕಂಪಿಸುತ್ತಿದೆ.
阵	ಸ್ವಲ್ಪ ಹೊತ್ತು; ಒಂದು ಅಲೆ	ಹೊರಗೆ ಸ್ವಲ್ಪ ಹೊತ್ತು ಮಳೆ ಸುರಿಯಿತು.
争论	ವಾದಿಸುವುದು; ಚರ್ಚೆ ಮಾಡುವುದು	ಅವರು ಈ ವಿಷಯದ ಬಗ್ಗೆ ಬಹಳ ಹೊತ್ತು ವಾದಿಸಿದರು.
争取	ಪ್ರಯತ್ನಿಸಿ ಪಡೆಯುವುದು	ನಾವು ಇನ್ನಷ್ಟು ಅವಕಾಶಗಳನ್ನು ಪಡೆಯಲು ಪ್ರಯತ್ನಿಸಬೇಕು.
征求	ಅಭಿಪ್ರಾಯ ಕೇಳುವುದು	ಶಿಕ್ಷಕರು ಎಲ್ಲರ ಅಭಿಪ್ರಾಯವನ್ನು ಕೇಳಿದರು.
挣	ಮುಕ್ತವಾಗಲು ಹೋರಾಡುವುದು; ಸಂಪಾದಿಸುವುದು	ಹಕ್ಕಿ ಕಯಿಯಿಂದ ಮುಕ್ತವಾಗಲು ಹೋರಾಡಿತು.
睁	ಕಣ್ಣು ತೆರೆಯುವುದು	ದಯವಿಟ್ಟು ಕಣ್ಣುಗಳನ್ನು ಸ್ವಲ್ಪ ಇನ್ನಷ್ಟು ತೆರೆಯಿರಿ.
整个	ಪೂರ್ತಿ; ಸಂಪೂರ್ಣ	ಪೂರ್ತಿ ನಗರ ತುಂಬಾ ಶಾಂತವಾಗಿದೆ.
整齐	ಅಚ್ಚುಕಟ್ಟಾದ	ಪುಸ್ತಕಗಳನ್ನು ತುಂಬಾ ಅಚ್ಚುಕಟ್ಟಾಗಿ ಜೋಡಿಸಲಾಗಿದೆ.
整体	ಸಮಗ್ರ; ಒಟ್ಟಾರೆ	ನಾವು ಒಟ್ಟಾರೆ ಪರಿಣಾಮವನ್ನು ಪರಿಗಣಿಸಬೇಕು.
政府	ಸರ್ಕಾರ	ಸರ್ಕಾರ ಹೊಸ ಸೂಚನೆ ಹೊರಡಿಸಿತು.
政治	ರಾಜಕೀಯ	ಅವನಿಗೆ ರಾಜಕೀಯದಲ್ಲಿ ತುಂಬಾ ಆಸಕ್ತಿ ಇದೆ.
正	ಸರಿಯಾದ; ನೇರ	ಈ ಉತ್ತರ ಸರಿಯಾಗಿದೆ.
证件	ಗುರುತಿನ ದಾಖಲೆ; ಪ್ರಮಾಣಪತ್ರ	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಗುರುತಿನ ದಾಖಲೆಯನ್ನು ತೋರಿಸಿ.
证据	ಸಾಕ್ಷ್ಯ; ಪುರಾವೆ	ಪೊಲೀಸರು ಹೊಸ ಸಾಕ್ಷ್ಯ ಕಂಡುಕೊಂಡರು.
支	ಎಣಿಕೆಪದ; ಬೆಂಬಲಿಸುವುದು	ಮೇಜಿನ ಮೇಲೆ ಒಂದು ಪೆನ್ ಇದೆ.
支票	ಚೆಕ್	ಅವನು ಚೆಕ್ ಮೂಲಕ ಪಾವತಿಸಿದನು.
执照	ಪರವಾನಗಿ	ವಾಹನ ಓಡಿಸಲು ಚಾಲನಾ ಪರವಾನಗಿ ಬೇಕು.
直	ನೆಟ್ಟಗೆ; ನೇರವಾಗಿ	ಈ ರಸ್ತೆಯಲ್ಲಿ ನೇರವಾಗಿ ಮುಂದೆ ಹೋಗಿ.
指导	ಮಾರ್ಗದರ್ಶನ ನೀಡುವುದು	ಪ್ರಬಂಧ ಬರೆಯಲು ಶಿಕ್ಷಕರು ನಮಗೆ ಮಾರ್ಗದರ್ಶನ ನೀಡಿದರು.
指挥	ನಿರ್ದೇಶಿಸುವುದು; ಆಜ್ಞಾಪಿಸುವುದು	ಈ ಕಾರ್ಯಾಚರಣೆಯನ್ನು ನಿರ್ದೇಶಿಸುವ ಹೊಣೆ ಅವನದು.
制定	ರೂಪಿಸುವುದು; ನಿಗದಿಪಡಿಸುವುದು	ಕಂಪನಿ ಹೊಸ ಯೋಜನೆಯನ್ನು ರೂಪಿಸಿತು.
制度	ವ್ಯವಸ್ಥೆ; ನಿಯಮವ್ಯವಸ್ಥೆ	ಶಾಲೆಯಲ್ಲಿ ಕಠಿಣ ನಿಯಮವ್ಯವಸ್ಥೆ ಇದೆ.
制造	ತಯಾರಿಸುವುದು; ಉತ್ಪಾದಿಸುವುದು	ಈ ಕಾರ್ಖಾನೆ ಯಂತ್ರಗಳನ್ನು ತಯಾರಿಸುತ್ತದೆ.
制作	ಮಾಡುವುದು; ತಯಾರಿಸುವುದು	ಅವಳು ಹುಟ್ಟುಹಬ್ಬದ ಕೇಕ್ ಮಾಡುತ್ತಿದ್ದಾಳೆ.
志愿者	ಸ್ವಯಂಸೇವಕ	ಅನೇಕ ಸ್ವಯಂಸೇವಕರು ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ ಸೇರಿದರು.
智慧	ಜ್ಞಾನ; ವಿವೇಕ	ಈ ಹಿರಿಯರಿಗೆ ಅಪಾರ ವಿವೇಕವಿದೆ.
治疗	ಚಿಕಿತ್ಸೆ ನೀಡುವುದು	ವೈದ್ಯರು ರೋಗಿಗೆ ಚಿಕಿತ್ಸೆ ನೀಡುತ್ತಿದ್ದಾರೆ.
秩序	ಸುವ್ಯವಸ್ಥೆ	ದಯವಿಟ್ಟು ಸುವ್ಯವಸ್ಥೆಯನ್ನು ಕಾಪಾಡಿ.
至今	ಇಂದಿನವರೆಗೆ	ಈ ಸಮಸ್ಯೆ ಇಂದಿನವರೆಗೆ ಪರಿಹಾರವಾಗಿಲ್ಲ.
至于	ಇದಕ್ಕೆ ಸಂಬಂಧಿಸಿ; ವಿಷಯಕ್ಕೆ ಬಂದರೆ	ಖರ್ಚಿನ ವಿಷಯಕ್ಕೆ ಬಂದರೆ ನಾವು ನಾಳೆ ಚರ್ಚಿಸೋಣ.
中介	ಮಧ್ಯವರ್ತಿ; ಏಜೆನ್ಸಿ	ಅವನು ಏಜೆನ್ಸಿ ಮೂಲಕ ಅಪಾರ್ಟ್‌ಮೆಂಟ್ ಬಾಡಿಗೆಗೆ ಪಡೆದನು.
中心	ಕೇಂದ್ರ	ಆಸ್ಪತ್ರೆ ನಗರದ ಕೇಂದ್ರದಲ್ಲಿದೆ.
中旬	ತಿಂಗಳ ಮಧ್ಯಭಾಗ	ಸಭೆಯನ್ನು ಮೇ ತಿಂಗಳ ಮಧ್ಯಭಾಗಕ್ಕೆ ನಿಗದಿಪಡಿಸಲಾಗಿದೆ.
种类	ಪ್ರಕಾರ; ವಿಧ	ಇಲ್ಲಿ ಅನೇಕ ವಿಧದ ಹಣ್ಣುಗಳಿವೆ.
重大	ಮಹತ್ವದ; ಪ್ರಮುಖ	ಇದು ಒಂದು ಮಹತ್ವದ ನಿರ್ಧಾರ.
重量	ತೂಕ	ಈ ಪೆಟ್ಟಿಗೆಯ ತೂಕ ಎಷ್ಟು?
周到	ಆಲೋಚನೆಯುತ; ಗಮನವಿರುವ	ಅವನ ಸೇವೆ ತುಂಬಾ ಆಲೋಚನೆಯುತವಾಗಿದೆ.
猪	ಹಂದಿ; ಹಂದಿಮಾಂಸ	ಫಾರ್ಮ್‌ನಲ್ಲಿ ಅನೇಕ ಹಂದಿಗಳಿವೆ.
竹子	ಬಿದಿರು	ಪಾಂಡಾಗಳಿಗೆ ಬಿದಿರು ತಿನ್ನುವುದು ಇಷ್ಟ.
逐步	ಹಂತ ಹಂತವಾಗಿ	ಯೋಜನೆಯನ್ನು ಹಂತ ಹಂತವಾಗಿ ಜಾರಿಗೆ ತರಲಾಗುತ್ತದೆ.
逐渐	ನಿಧಾನವಾಗಿ; ಕ್ರಮೇಣ	ಹವಾಮಾನ ನಿಧಾನವಾಗಿ ಚಳಿಯಾಯಿತು.
主持	ನಡೆಸಿಕೊಡುವುದು; ಅಧ್ಯಕ್ಷತೆ ವಹಿಸುವುದು	ಅವಳು ಇಂದಿನ ಸಭೆಯನ್ನು ನಡೆಸಿಕೊಡುತ್ತಿದ್ದಾಳೆ.
主动	ಮುಂದುಬಂದು; ಸಕ್ರಿಯ	ಅವನು ಮುಂದುಬಂದು ಸಹಪಾಠಿಗೆ ಸಹಾಯ ಮಾಡಿದನು.
主观	ವೈಯಕ್ತಿಕ ದೃಷ್ಟಿಯ; ವ್ಯಕ್ತಿನಿಷ್ಠ	ಈ ಮೌಲ್ಯಮಾಪನ ಸ್ವಲ್ಪ ವ್ಯಕ್ತಿನಿಷ್ಠವಾಗಿದೆ.
主人	ಯಜಮಾನ; ಆತಿಥೇಯ	ಆತಿಥೇಯರು ನಮಗೆ ಆತ್ಮೀಯವಾಗಿ ಸ್ವಾಗತಿಸಿದರು.
主任	ನಿರ್ದೇಶಕ; ಮುಖ್ಯಸ್ಥ	ಮುಖ್ಯಸ್ಥರು ಕಚೇರಿಯಲ್ಲಿದ್ದಾರೆ.
主题	ವಿಷಯ; ಮುಖ್ಯ ವಿಷಯ	ಇಂದಿನ ಚರ್ಚೆಯ ವಿಷಯ ಪರಿಸರ ಸಂರಕ್ಷಣೆ.
主席	ಅಧ್ಯಕ್ಷ	ಅಧ್ಯಕ್ಷರು ಸಭೆ ಆರಂಭವಾಗಿದೆ ಎಂದು ಘೋಷಿಸಿದರು.
主张	ವಾದಿಸುವುದು; ಅಭಿಪ್ರಾಯ	ಅವನು ಮೊದಲು ಸಂಚಾರ ಸಮಸ್ಯೆಯನ್ನು ಪರಿಹರಿಸಬೇಕು ಎಂದು ವಾದಿಸುತ್ತಾನೆ.
煮	ಬೇಯಿಸುವುದು; ಕುದಿಸುವುದು	ಅಮ್ಮ ನೂಡಲ್ಸ್ ಬೇಯಿಸುತ್ತಿದ್ದಾರೆ.
注册	ನೋಂದಣಿ ಮಾಡುವುದು	ಹೊಸ ಬಳಕೆದಾರರು ಮೊದಲು ನೋಂದಣಿ ಮಾಡಬೇಕು.
祝福	ಶುಭಾಶಯ; ಆಶೀರ್ವಾದ	ಸ್ನೇಹಿತರು ತಮ್ಮ ಶುಭಾಶಯಗಳನ್ನು ಕಳುಹಿಸಿದರು.
抓	ಹಿಡಿಯುವುದು; ಹಿಡಿದುಕೊಳ್ಳುವುದು	ಮಗು ತಾಯಿಯ ಕೈ ಹಿಡಿದುಕೊಂಡಿತು.
抓紧	ಸಮಯವನ್ನು ಚೆನ್ನಾಗಿ ಬಳಸುವುದು; ಬಿಗಿಯಾಗಿ ಹಿಡಿಯುವುದು	ನಾವು ಸಮಯವನ್ನು ಚೆನ್ನಾಗಿ ಬಳಸಿಕೊಳ್ಳಬೇಕು.
专家	ತಜ್ಞ	ತಜ್ಞರು ಸಲಹೆ ನೀಡಿದರು.
专心	ಏಕಾಗ್ರತೆ; ಗಮನದಿಂದ	ತರಗತಿಯಲ್ಲಿ ಗಮನದಿಂದ ಕೇಳಬೇಕು.
转变	ಬದಲಾಗುವುದು; ಬದಲಾವಣೆ	ಅವನ ಮನೋಭಾವ ಬದಲಾಗಿದೆ.
转告	ತಿಳಿಸಿ ಹೇಳುವುದು	ನಾಳೆ ಸಭೆ ಇದೆ ಎಂದು ದಯವಿಟ್ಟು ಅವನಿಗೆ ತಿಳಿಸಿ.
装	ಹಾಕುವುದು; ನಟಿಸುವುದು	ದಯವಿಟ್ಟು ಪುಸ್ತಕಗಳನ್ನು ಚೀಲಕ್ಕೆ ಹಾಕಿ.
装饰	ಅಲಂಕರಿಸುವುದು	ಅವರು ಹೂಗಳಿಂದ ಕೊಠಡಿಯನ್ನು ಅಲಂಕರಿಸಿದರು.
装修	ನವೀಕರಿಸುವುದು; ಒಳಸಜ್ಜು ಮಾಡುವುದು	ಹೊಸ ಮನೆಯಲ್ಲಿ ನವೀಕರಣ ನಡೆಯುತ್ತಿದೆ.
撞	ಡಿಕ್ಕಿ ಹೊಡೆಯುವುದು	ಚೌಕದಲ್ಲಿ ಎರಡು ಕಾರುಗಳು ಡಿಕ್ಕಿ ಹೊಡೆದವು.
状况	ಸ್ಥಿತಿ; ಪರಿಸ್ಥಿತಿ	ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ ತುಸು ಸ್ಥಿರವಾಗಿದೆ.
状态	ಸ್ಥಿತಿ	ಇಂದು ಅವನ ಸ್ಥಿತಿ ಚೆನ್ನಾಗಿದೆ.
追	ಹಿಂಬಾಲಿಸುವುದು	ಮಗು ನಾಯಿ ಮರಿಯನ್ನು ಹಿಂದೆ ಹಿಂಬಾಲಿಸುತ್ತಿದೆ.
追求	ಹಿಂಬಾಲಿಸುವುದು; ಸಾಧಿಸಲು ಪ್ರಯತ್ನಿಸುವುದು	ಅವನು ಸದಾ ತನ್ನ ಕನಸನ್ನು ಸಾಧಿಸಲು ಪ್ರಯತ್ನಿಸಿದ್ದಾನೆ.
咨询	ಸಲಹೆ ಕೇಳುವುದು	ನೀವು ವೃತ್ತಿಪರ ವೈದ್ಯರಿಂದ ಸಲಹೆ ಕೇಳಬಹುದು.
姿势	ಭಂಗಿ	ದಯವಿಟ್ಟು ಸರಿಯಾದ ಭಂಗಿಯನ್ನು ಕಾಪಾಡಿ.
资格	ಅರ್ಹತೆ	ಅವನಿಗೆ ಸ್ಪರ್ಧೆಯಲ್ಲಿ ಭಾಗವಹಿಸುವ ಅರ್ಹತೆ ಇದೆ.
资金	ಹಣಕಾಸು; ನಿಧಿ	ಯೋಜನೆಗೆ ಇನ್ನಷ್ಟು ಹಣಕಾಸು ಬೇಕು.
资料	ಸಾಮಗ್ರಿ; ಮಾಹಿತಿ	ದಯವಿಟ್ಟು ಆ ಸಾಮಗ್ರಿಯನ್ನು ನನಗೆ ಕಳುಹಿಸಿ.
资源	ಸಂಪನ್ಮೂಲ	ನೀರು ಒಂದು ಮುಖ್ಯ ಪ್ರಕೃತಿ ಸಂಪನ್ಮೂಲ.
紫	ನೇರಳೆ ಬಣ್ಣ	ಅವಳಿಗೆ ನೇರಳೆ ಬಣ್ಣ ಇಷ್ಟ.
字母	ಅಕ್ಷರ	ಇಂಗ್ಲಿಷ್‌ನಲ್ಲಿ ಇಪ್ಪತ್ತಾರು ಅಕ್ಷರಗಳಿವೆ.
字幕	ಉಪಶೀರ್ಷಿಕೆ	ಈ ಚಿತ್ರಕ್ಕೆ ಚೀನಿ ಉಪಶೀರ್ಷಿಕೆಗಳಿವೆ.
自从	ಆ ನಂತರದಿಂದ; ಇಂದಿನಿಂದ	ಪದವಿ ಪಡೆದ ನಂತರದಿಂದ ಅವನು ಅಪರೂಪವಾಗಿ ಹಿಂದಿರುಗುತ್ತಾನೆ.
