simplified	KK	example_KK
注视	қадала қарау	Ол алысқа қадала қарады.
注释	түсіндірме	Мәтіннің жанында толық түсіндірме бар.
注重	мән беру	Компания өнім сапасына мән береді.
著作	еңбек	Бұл еңбек терең әсер етті.
铸造	құю	Зауыт ірі бөлшектерді құяды.
驻扎	орналасу	Әскер шекарада орналасқан.
拽	сүйреу	Ол қорапты үйге сүйреп кіргізді.
专长	мамандану саласы	Деректерді талдау оның мамандану саласы.
专程	арнайы бару	Ол мұғалімін көруге арнайы барды.
专利	патент	Компания жаңа патентке өтініш берді.
专题	арнайы тақырып	Телеарна экология туралы арнайы хабар көрсетті.
砖	кірпіш	Жұмысшылар бір арба кірпіш әкелді.
转达	жеткізу	Өтінемін, алғысымды жеткізіңіз.
转让	табыстау	Ол дүкенді басқа адамға табыстауға шешім қабылдады.
转移	көшіру	Мейіргер жаралыларды қауіпсіз жерге көшірді.
转折	бетбұрыс	Әңгімеде үлкен бетбұрыс пайда болды.
传记	өмірбаян	Ол әкесінің өмірбаянын жазып жатыр.
庄稼	егін	Жаңбыр егінді нәрлендірді.
庄严	салтанатты	Рәсімнің көңіл күйі салтанатты болды.
庄重	байсалды	Ол байсалды ресми киім киді.
装备	жабдық	Топ озық жабдықпен қамтамасыз етілген.
装卸	тиеп-түсіру	Айлақ жұмысшылары жүкті тиеп-түсіруге жауапты.
壮观	ғажайып	Сарқыраманың көрінісі өте ғажайып.
壮丽	айбынды	Мұнда айбынды тау мен өзен бар.
壮烈	ерлікпен қаза табу	Батыр ерлікпен қаза тапты.
幢	үй	Көше бұрышында бір ескі үй бар.
追悼	аза тұту	Адамдар аза тұту рәсіміне қатысты.
追究	тексеру	Компания жауапкершілікті тексереді.
坠	құлау	Жапырақтар бұтақтан құлады.
准则	қағида	Адалдық ынтымақтастық қағидасы.
卓越	үздік	Ол үздік жетістікке жетті.
琢磨	ой елегінен өткізу	Ол бұл мәселені қайта-қайта ой елегінен өткізді.
着手	кірісу	Топ ертең тергеуге кіріседі.
着想	қамын ойлау	Ата-ана әрдайым баласының қамын ойлайды.
着重	баса назар аудару	Есеп шығынды талдауға баса назар аударды.
姿态	ұстаным	Ол кішіпейіл ұстанымын сақтады.
滋润	нәрлендіру	Көктем жаңбыры жерді нәрлендірді.
滋味	сезім	Сәтсіздіктің сезімі ауыр.
资本	капитал	Кәсіп бастауға белгілі бір капитал керек.
资产	актив	Компания активтері тұрақты өсіп келеді.
资深	тәжірибелі	Бұл істі тәжірибелі заңгер қарады.
资助	қаржылай қолдау	Қор кедей студенттерге қаржылай қолдау көрсетті.
子弹	оқ	Оқ қабырғаға тиді.
自卑	өзін төмен санау	Ол енді өзін төмен санамайды.
自发	өз еркімен	Тұрғындар көшені өз еркімен тазалады.
自力更生	өз күшіне сүйену	Ауыл тұрғындары өз күшіне сүйенуді ұстанады.
自满	тоқмейілсу	Табыстан кейін тоқмейілсуге болмайды.
自主	дербес	Оқушылар дербес оқу қабілетін дамытуы керек.
宗教	дін	Ол әлем діндерін зерттейді.
宗旨	мақсат	Ұйымның мақсаты қауымға қызмет ету.
棕色	қоңыр	Ол қоңыр былғары аяқ киім сатып алды.
踪迹	із	Полиция күдіктінің ізін тапты.
总而言之	қысқасы	Қысқасы, жоспар іске асады.
总和	жиынтық	Бұл сома барлық шығынның жиынтығы.
纵横	айқасу	Өзендер жазықта айқасып ағады.
走廊	дәліз	Балалар дәлізде кезекке тұрды.
走漏	тарап кету	Хабар сыртқа тарап кетпеуі керек.
