simplified	ML	example_ML
证件	തിരിച്ചറിയൽ രേഖ; സർട്ടിഫിക്കറ്റ്	ദയവായി നിങ്ങളുടെ തിരിച്ചറിയൽ രേഖ കാണിക്കൂ.
证据	തെളിവ്	പോലീസ് പുതിയ തെളിവ് കണ്ടെത്തി.
支	എണ്ണവാക്ക്; താങ്ങുക	മേശപ്പുറത്ത് ഒരു പേനയുണ്ട്.
支票	ചെക്ക്	അവൻ ചെക്കിലൂടെ പണം അടച്ചു.
执照	ലൈസൻസ്	വാഹനം ഓടിക്കാൻ ഡ്രൈവിംഗ് ലൈസൻസ് വേണം.
直	നേരെ	ഈ റോഡിലൂടെ നേരെ മുന്നോട്ട് പോകൂ.
指导	മാർഗ്ഗനിർദ്ദേശം നൽകുക	പ്രബന്ധം എഴുതാൻ അധ്യാപകൻ ഞങ്ങൾക്ക് മാർഗ്ഗനിർദ്ദേശം നൽകി.
指挥	നിർദ്ദേശിക്കുക; നിയന്ത്രിക്കുക	ഈ പ്രവർത്തനം നിയന്ത്രിക്കുന്നത് അവന്റെ ഉത്തരവാദിത്വമാണ്.
制定	രൂപപ്പെടുത്തുക	കമ്പനി പുതിയ പദ്ധതി രൂപപ്പെടുത്തി.
制度	സംവിധാനം; നിയമവ്യവസ്ഥ	സ്കൂളിന് കർശനമായ സംവിധാനമുണ്ട്.
制造	നിർമ്മിക്കുക	ഈ ഫാക്ടറി യന്ത്രങ്ങൾ നിർമ്മിക്കുന്നു.
制作	ഉണ്ടാക്കുക	അവൾ ജന്മദിന കേക്ക് ഉണ്ടാക്കുന്നു.
志愿者	സ്വയംസേവകൻ	നിരവധി സ്വയംസേവകർ പരിപാടിയിൽ ചേർന്നു.
智慧	ജ്ഞാനം	ഈ മുതിർന്ന വ്യക്തിക്ക് വലിയ ജ്ഞാനമുണ്ട്.
治疗	ചികിത്സിക്കുക	ഡോക്ടർ രോഗിയെ ചികിത്സിക്കുന്നു.
秩序	ക്രമം	ദയവായി ക്രമം പാലിക്കൂ.
至今	ഇന്നുവരെ	ഈ പ്രശ്നം ഇന്നുവരെ പരിഹരിച്ചിട്ടില്ല.
至于	സംബന്ധിച്ച്	ചെലവിനെക്കുറിച്ച് നാളെ ചർച്ച ചെയ്യും.
中介	ഇടനിലക്കാരൻ; ഏജൻസി	അവൻ ഏജൻസിയിലൂടെ ആ അപ്പാർട്ട്മെന്റ് വാടകയ്ക്കെടുത്തു.
中心	കേന്ദ്രം	ആശുപത്രി നഗരകേന്ദ്രത്തിലാണ്.
中旬	മാസത്തിന്റെ മധ്യഭാഗം	യോഗം മേയ് മധ്യത്തിൽ നടത്താനാണ് തീരുമാനിച്ചത്.
种类	തരം	ഇവിടെ പല തരത്തിലുള്ള പഴങ്ങളുണ്ട്.
重大	പ്രധാനപ്പെട്ട; വലിയ	ഇത് ഒരു പ്രധാനപ്പെട്ട തീരുമാനമാണ്.
重量	ഭാരം	ഈ പെട്ടിയുടെ ഭാരം എത്രയാണ്?
周到	പരിഗണനയുള്ള; സൂക്ഷ്മമായ	അവന്റെ സേവനം വളരെ പരിഗണനയുള്ളതാണ്.
猪	പന്നി	ഫാമിൽ നിരവധി പന്നികളുണ്ട്.
竹子	മുള	പാണ്ടകൾക്ക് മുള കഴിക്കാൻ ഇഷ്ടമാണ്.
逐步	പടിപടിയായി	പദ്ധതി പടിപടിയായി നടപ്പാക്കും.
逐渐	ക്രമേണ	കാലാവസ്ഥ ക്രമേണ തണുത്തു.
主持	അധ്യക്ഷത വഹിക്കുക; നടത്തുക	അവൾ ഇന്നത്തെ യോഗത്തിന് അധ്യക്ഷയായി.
主动	മുൻകൈയെടുക്കുന്ന	അവൻ സഹപാഠിയെ സഹായിക്കാൻ മുൻകൈയെടുത്തു.
主观	വ്യക്തിപരമായ; ആത്മനിഷ്ഠമായ	ഈ വിലയിരുത്തൽ അല്പം വ്യക്തിപരമാണ്.
主人	ആതിഥേയൻ; ഉടമ	ആതിഥേയൻ ഞങ്ങളെ ഉഷ്മളമായി സ്വാഗതം ചെയ്തു.
主任	ഡയറക്ടർ; മേധാവി	മേധാവി ഓഫീസിലാണ്.
主题	വിഷയം	ഇന്നത്തെ ചർച്ചാവിഷയം പരിസ്ഥിതി സംരക്ഷണമാണ്.
主席	അധ്യക്ഷൻ	അധ്യക്ഷൻ യോഗം ആരംഭിച്ചതായി പ്രഖ്യാപിച്ചു.
主张	വാദിക്കുക; നിലപാട്	ഗതാഗതപ്രശ്നം ആദ്യം പരിഹരിക്കണമെന്ന് അവൻ വാദിക്കുന്നു.
煮	വേവിക്കുക	അമ്മ നൂഡിൽസ് വേവിക്കുന്നു.
注册	രജിസ്റ്റർ ചെയ്യുക	പുതിയ ഉപയോക്താക്കൾ ആദ്യം രജിസ്റ്റർ ചെയ്യണം.
祝福	ആശംസ	സുഹൃത്തുകൾ ആശംസകൾ അയച്ചു.
抓	പിടിക്കുക	കുട്ടി അമ്മയുടെ കൈ പിടിച്ചു.
抓紧	സമയം നന്നായി ഉപയോഗിക്കുക; മുറുകെ പിടിക്കുക	നമുക്ക് സമയം നന്നായി ഉപയോഗിക്കണം.
专家	വിദഗ്ധൻ	വിദഗ്ധൻ നിർദേശങ്ങൾ നൽകി.
专心	ശ്രദ്ധ കേന്ദ്രീകരിക്കുക	ക്ലാസിൽ ശ്രദ്ധയോടെ കേൾക്കണം.
转变	മാറ്റം വരുക	അവന്റെ മനോഭാവം മാറി.
转告	അറിയിച്ചുകൊടുക്കുക	നാളെ യോഗമുണ്ടെന്ന് ദയവായി അവനോട് അറിയിക്കൂ.
装	ഇടുക; നടിക്കുക	ദയവായി പുസ്തകങ്ങൾ ബാഗിൽ ഇടൂ.
装饰	അലങ്കരിക്കുക	അവർ പൂക്കളാൽ മുറി അലങ്കരിച്ചു.
装修	പുതുക്കിപ്പണിയുക	പുതിയ വീട് പുതുക്കിപ്പണിയുകയാണ്.
撞	ഇടിക്കുക	ചത്വരത്തിൽ രണ്ട് കാറുകൾ ഇടിച്ചു.
状况	സ്ഥിതി	ഇപ്പോഴത്തെ സ്ഥിതി താരതമ്യേന സ്ഥിരമാണ്.
状态	അവസ്ഥ	ഇന്ന് അവന്റെ അവസ്ഥ നല്ലതാണ്.
追	പിന്തുടരുക	കുട്ടി കുഞ്ഞുനായയെ പിന്നിൽ നിന്ന് പിന്തുടരുന്നു.
追求	ലക്ഷ്യം പിന്തുടരുക	അവൻ എപ്പോഴും തന്റെ സ്വപ്നം പിന്തുടർന്നു.
咨询	ഉപദേശം തേടുക	നിങ്ങൾക്ക് വിദഗ്ധ ഡോക്ടറുടെ ഉപദേശം തേടാം.
姿势	ഭംഗി; ശരീരഭാവം	ദയവായി ശരിയായ ശരീരഭാവം പാലിക്കൂ.
资格	യോഗ്യത	മത്സരത്തിൽ പങ്കെടുക്കാൻ അവന് യോഗ്യതയുണ്ട്.
资金	ധനം; ഫണ്ട്	പദ്ധതിക്ക് കൂടുതൽ ഫണ്ട് വേണം.
资料	സാമഗ്രികൾ; വിവരങ്ങൾ	ദയവായി സാമഗ്രികൾ എനിക്ക് അയച്ചുതരൂ.
资源	വിഭവങ്ങൾ	വെള്ളം ഒരു പ്രധാന പ്രകൃതി വിഭവമാണ്.
紫	നിറം നീലച്ചുവപ്പ്	അവൾക്ക് നീലച്ചുവപ്പ് നിറം ഇഷ്ടമാണ്.
字母	അക്ഷരം	ഇംഗ്ലീഷിൽ ഇരുപത്താറ് അക്ഷരങ്ങളുണ്ട്.
字幕	ഉപശീർഷകം	ഈ സിനിമയ്ക്ക് ചൈനീസ് ഉപശീർഷകങ്ങളുണ്ട്.
自从	മുതൽ	ബിരുദം നേടിയതുമുതൽ അവൻ അപൂർവ്വമായി മാത്രമേ മടങ്ങിവരാറുള്ളൂ.
自动	സ്വയമേ പ്രവർത്തിക്കുന്ന	ഈ വാതിൽ സ്വയമേ തുറക്കും.
自豪	അഭിമാനം	എന്റെ പുരോഗതിയിൽ എനിക്ക് അഭിമാനമുണ്ട്.
自觉	സ്വമേധയാ; ബോധമുള്ള	അവൻ സ്വമേധയാ ഗൃഹപാഠം പൂർത്തിയാക്കി.
自私	സ്വാർത്ഥമായ	ഒരു വ്യക്തി അത്യധികം സ്വാർത്ഥനാകരുത്.
自由	സ്വാതന്ത്ര്യം	എല്ലാവരും സ്വാതന്ത്ര്യത്തെ വിലമതിക്കുന്നു.
自愿	സ്വമേധയാ	അവർ പരിപാടിയിൽ സ്വമേധയാ പങ്കെടുക്കാൻ തീരുമാനിച്ചു.
综合	സമഗ്രമായി ചേർക്കുക	നമുക്ക് വിവിധ ഘടകങ്ങൾ സമഗ്രമായി പരിഗണിക്കണം.
总裁	മേധാവി; ചീഫ് എക്സിക്യൂട്ടീവ്	കമ്പനിയുടെ മേധാവി ഇന്ന് പ്രസംഗിച്ചു.
总共	ആകെ	ഈ യാത്രയ്ക്ക് ആകെ മൂവായിരം യുവാൻ ചെലവായി.
总理	പ്രധാനമന്ത്രി	പ്രധാനമന്ത്രി യോഗത്തിൽ പങ്കെടുത്തു.
总算	ഒടുവിൽ	പ്രശ്നം ഒടുവിൽ പരിഹരിച്ചു.
总统	പ്രസിഡന്റ്	പ്രസിഡന്റ് ടെലിവിഷൻ പ്രസംഗം നടത്തി.
总之	ചുരുക്കത്തിൽ	ചുരുക്കത്തിൽ, നമുക്ക് സമയത്ത് പൂർത്തിയാക്കണം.
组	ഗ്രൂപ്പാക്കുക; സംഘം	അധ്യാപകൻ ഞങ്ങളെ മൂന്ന് സംഘങ്ങളാക്കി.
组成	രൂപപ്പെടുക; അടങ്ങിയിരിക്കുക	വെള്ളം ഹൈഡ്രജനും ഓക്സിജനും ചേർന്നതാണ്.
组合	സംയോജനം	ഈ നിറസംയോജനം നന്നായി കാണുന്നു.
组织	സംഘടിപ്പിക്കുക; സംഘടന	സ്കൂൾ ഒരു യാത്ര സംഘടിപ്പിച്ചു.
阻止	തടയുക	പോലീസ് അപകടകരമായ പെരുമാറ്റം തടഞ്ഞു.
最初	ആദ്യത്തിൽ	ആദ്യത്തിൽ എനിക്ക് പൂർണ്ണമായി മനസ്സിലായില്ല.
醉	മദ്യലഹരിയിലുള്ള	അവൻ അധികം കുടിച്ചു, അല്പം മദ്യലഹരിയിലാണ്.
