simplified	FR	example_FR
征收	prélever; imposer	Le gouvernement prélève les impôts conformément à la loi.
挣扎	lutter	Le petit oiseau lutte dans le filet.
正月	premier mois lunaire	Pendant le premier mois lunaire, les proches se souhaitent la bonne année.
蒸发	s'évaporer	L'eau s'est vite évaporée.
整顿	réorganiser; remettre en ordre	L'entreprise commence à réorganiser sa gestion.
政策	politique	La nouvelle politique soutient les petites entreprises.
政权	pouvoir politique; régime	La guerre a changé le pouvoir politique local.
正当	légitime; raisonnable	Il a présenté une demande légitime.
正负	positif et négatif	L'instrument affiche une erreur positive ou négative.
正规	régulier; conforme aux normes	L'enfant entre dans une école régulière.
正经	sérieux; correct	Il a enfin commencé à parler sérieusement.
正气	droiture; atmosphère saine	La société doit promouvoir la droiture.
正义	justice	L'avocat défend la justice.
正宗	authentique; traditionnel	Ce restaurant vend une cuisine sichuanaise authentique.
症状	symptôme	La fièvre est un symptôme courant.
证实	confirmer; vérifier	L'enquête a confirmé ses propos.
证书	certificat	Elle a obtenu un certificat professionnel.
郑重	solennel; sérieux	Il a promis solennellement d'assumer la responsabilité.
之际	au moment de	À l'approche de la fête du Printemps, tout le monde est très occupé.
支撑	soutenir	Les piliers soutiennent le toit.
支出	dépense	Les dépenses familiales ont nettement augmenté.
支流	affluent	Cette rivière est un affluent du Yangtsé.
支配	dominer; répartir	Les émotions ne doivent pas dominer le jugement.
支援	soutenir; aider	Des médecins de tout le pays sont venus aider.
支柱	pilier	L'industrie manufacturière est le pilier de l'économie locale.
枝	branche	Elle a cassé une branche de fleur.
知觉	conscience; perception	Le blessé reprend peu à peu conscience.
知足常乐	se contenter de ce qu'on a	Le vieil homme dit souvent qu'il faut se contenter de ce qu'on a.
脂肪	graisse	Les noix contiennent de bonnes graisses.
侄子	neveu	Mon neveu est à l'école primaire cette année.
值班	être de service	L'infirmière est de service ce soir.
执行	exécuter; appliquer	Le tribunal a exécuté le jugement.
执着	persévérant; attaché	Il est très attaché à son idéal.
殖民地	colonie	Cette île était autrefois une colonie.
直播	diffusion en direct	Le match sera diffusé en direct sur Internet ce soir.
直径	diamètre	Le diamètre de ce cercle est de dix centimètres.
职能	fonction; rôle	Les fonctions du service doivent être redéfinies.
职位	poste	Elle a postulé à un poste de direction.
职务	fonction; poste	Il occupe la fonction de chef de projet.
指标	indicateur; objectif	L'objectif de vente a déjà été atteint.
指定	désigner; assigner	Le professeur l'a désigné pour répondre à la question.
指甲	ongle	Elle s'est coupé les ongles courts.
指令	instruction; ordre	L'ordinateur a reçu une nouvelle instruction.
指南针	boussole	L'alpiniste a emporté une boussole.
指示	instruction; indiquer	Le directeur a donné des instructions claires.
指望	compter sur	Ne compte pas sur les autres pour terminer à ta place.
指责	accuser; critiquer	Le public accuse l'entreprise de polluer l'environnement.
制裁	sanctionner; sanctions	La communauté internationale impose des sanctions économiques.
制服	uniforme; maîtriser	Le gardien porte un uniforme bleu foncé.
制约	limiter; freiner	Le manque de fonds freine le développement.
制止	arrêter; empêcher	La police a empêché le conflit à temps.
志气	ambition; détermination	Les jeunes doivent avoir de l'ambition.
智力	intelligence	Les jeux peuvent entraîner l'intelligence.
智能	intelligent; smart	Les appareils intelligents deviennent de plus en plus répandus.
智商	quotient intellectuel	Le quotient intellectuel ne décide pas de tout.
治安	sécurité publique	La sécurité publique du quartier s'est nettement améliorée.
治理	gérer; gouverner	Le gouvernement renforce la gestion des rivières.
滞留	rester bloqué; rétention	Les voyageurs sont restés bloqués à l'aéroport à cause de la neige.
致辞	prononcer un discours	Le directeur a prononcé un discours pendant la cérémonie.
致力	se consacrer à	L'équipe se consacre à l'innovation technologique.
致使	provoquer; entraîner	Une erreur de gestion a entraîné le report du projet.
中断	interrompre	Les fortes pluies ont interrompu les communications.
中立	neutre	Ce pays maintient une position neutre.
中央	centre; central	La fontaine se trouve au centre de la place.
忠诚	loyal	Les employés sont très loyaux envers l'entreprise.
忠实	fidèle	Il est un lecteur fidèle de ce journal.
终点	ligne d'arrivée; fin	La ligne d'arrivée est juste devant.
终究	finalement	Le problème finira par être résolu.
终身	toute la vie	Il a décidé de se consacrer à l'éducation toute sa vie.
终止	mettre fin; terminer	Le contrat prendra fin à la fin du mois prochain.
衷心	sincère; de tout cœur	Je te remercie sincèrement pour ton aide.
种子	graine	Les paysans sèment de nouvelles graines.
种族	race; ethnie	La loi interdit la discrimination raciale.
肿瘤	tumeur	Le médecin a découvert une tumeur bénigne.
众所周知	comme chacun sait	Comme chacun sait, l'eau est importante.
种植	cultiver	Ici, le climat convient à la culture du raisin.
重心	centre de gravité; priorité	La priorité du travail se déplace vers le service.
周边	environs; périphérie	La circulation est dense aux environs de l'école.
周密	soigneux; minutieux	Ils ont élaboré un plan minutieux.
周年	anniversaire	L'entreprise célèbre son dixième anniversaire.
周期	cycle	Le cycle de mise à jour des produits s'est raccourci.
周折	complications; péripéties	Les démarches ont connu beaucoup de complications.
周转	rotation; trésorerie	L'entreprise a des difficultés de trésorerie.
州	État; province	Il habite en Californie aux États-Unis.
粥	bouillie de riz	Le patient a bu de la bouillie de riz le matin.
舟	barque	La petite barque s'approche lentement de la rive.
昼夜	jour et nuit	Les ouvriers réparent la route jour et nuit.
皱纹	ride	Grand-mère a beaucoup de rides sur le visage.
株	pied; plant	Trois arbres ont été plantés dans la cour.
诸位	mesdames et messieurs; tous	Merci à tous d'être venus aujourd'hui.
逐年	d'année en année	Les coûts d'exploitation augmentent d'année en année.
主办	organiser; accueillir	L'école a organisé le festival artistique.
主导	diriger; guider	La demande du marché guide la conception des produits.
主管	responsable; chargé de	Le responsable approuve le budget.
主流	courant principal	Les idées écologiques deviennent le courant principal.
主权	souveraineté	La souveraineté nationale doit être respectée.
主义	doctrine; idéologie	Il étudie différentes idéologies politiques.
嘱咐	recommander; donner des consignes	Sa mère lui recommande plusieurs fois de prendre un parapluie.
拄	s'appuyer sur	Le vieil homme marche en s'appuyant sur une canne.
住宅	logement; résidence	Cette zone est principalement résidentielle.
助理	assistant	L'assistant a rangé les documents de réunion.
助手	assistant; aide	Le robot est l'assistant de laboratoire.
注射	injection; injecter	Le médecin injecte un médicament au patient.
注视	regarder attentivement	Elle regarde attentivement au loin.
注释	annotation; note	Le texte contient des annotations détaillées sur le côté.
注重	attacher de l'importance à	L'entreprise attache de l'importance à la qualité des produits.
著作	ouvrage	Cet ouvrage a une influence profonde.
铸造	fondre; couler	L'usine coule de grandes pièces.
驻扎	stationner	Les troupes sont stationnées à la frontière.
拽	tirer; traîner	Il a tiré la caisse dans la pièce.
专长	spécialité	L'analyse de données est sa spécialité.
专程	faire le déplacement spécialement	Il a fait le déplacement spécialement pour rendre visite au professeur.
专利	brevet	L'entreprise a déposé un nouveau brevet.
专题	sujet spécial	La chaîne de télévision diffuse un dossier spécial sur l'environnement.
砖	brique	Les ouvriers ont apporté un chargement de briques.
转达	transmettre	Veuillez transmettre mes remerciements.
转让	céder; transférer	Il a décidé de céder sa boutique.
转移	transférer; déplacer	L'infirmière a déplacé les blessés.
转折	tournant	L'histoire connaît un tournant majeur.
传记	biographie	Elle écrit la biographie de son père.
庄稼	cultures	La pluie nourrit les cultures.
庄严	solennel	L'atmosphère de la cérémonie est solennelle.
庄重	digne; solennel	Il porte une tenue de cérémonie digne.
装备	équipement	L'équipe est équipée de matériel avancé.
装卸	charger et décharger	Les dockers sont responsables du chargement et du déchargement des marchandises.
壮观	spectaculaire	Le paysage de la cascade est spectaculaire.
壮丽	majestueux	Il y a ici des montagnes et des rivières majestueuses.
壮烈	héroïque	Le héros s'est sacrifié de façon héroïque.
幢	classificateur pour bâtiments	Il y a une vieille maison au coin de la rue.
追悼	commémoration; deuil	Les gens participent à la cérémonie de commémoration.
追究	examiner; poursuivre	L'entreprise poursuivra les responsabilités.
坠	tomber	Les feuilles tombent des branches.
准则	règle; critère	L'honnêteté est une règle de coopération.
卓越	excellent; remarquable	Elle a obtenu des résultats remarquables.
琢磨	réfléchir; méditer	Il réfléchit sans cesse à ce problème.
着手	commencer	L'équipe commencera l'enquête demain.
着想	penser à; prendre en considération	Les parents pensent toujours à leurs enfants.
着重	mettre l'accent sur	Le rapport met l'accent sur l'analyse des coûts.
姿态	attitude; posture	Elle garde une attitude modeste.
滋润	humidifier; nourrir	La pluie de printemps nourrit la terre.
滋味	goût; impression	Le goût de l'échec est difficile à supporter.
资本	capital	Créer une entreprise demande un certain capital.
资产	actifs	Les actifs de l'entreprise continuent de croître.
资深	expérimenté; senior	Un avocat expérimenté traite cette affaire.
资助	aider financièrement	La fondation aide financièrement les étudiants pauvres.
子弹	balle	La balle a frappé le mur.
自卑	complexe d'infériorité	Il ne se sent plus inférieur.
自发	spontané	Les habitants nettoient spontanément la rue.
自力更生	compter sur ses propres forces	Les villageois insistent pour compter sur leurs propres forces.
自满	satisfait de soi	Il ne faut pas devenir satisfait de soi après le succès.
自主	autonome; indépendant	Les élèves doivent développer leur capacité d'apprentissage autonome.
宗教	religion	Il étudie les religions du monde.
宗旨	but; objectif	Le but de l'organisation est de servir la communauté.
棕色	brun	Elle a acheté des chaussures en cuir brun.
踪迹	trace	La police a découvert les traces du suspect.
总而言之	en résumé	En résumé, le plan est réalisable.
总和	somme	Le bénéfice correspond à l'écart entre les revenus et les coûts.
纵横	s'entrecroiser	Les rivières s'entrecroisent dans la plaine.
走廊	couloir	Les enfants font la queue dans le couloir.
走漏	fuiter; divulguer	La nouvelle ne doit pas fuiter.
走私	contrebande	La douane a saisi des marchandises de contrebande.
揍	frapper	Il a été frappé par plusieurs hommes ivres.
租赁	louer; prendre en location	L'entreprise a loué de nouveaux bureaux.
足以	suffisant pour	Ces preuves suffisent à expliquer le problème.
祖父	grand-père paternel	Mon grand-père aime raconter de vieilles histoires.
祖国	patrie	Il aime profondément sa patrie.
祖先	ancêtre	Ils rendent hommage à leurs ancêtres.
阻碍	entraver; gêner	Le manque de fonds entrave l'avancement du projet.
阻拦	arrêter; empêcher	Le gardien empêche les inconnus d'entrer.
阻挠	entraver; faire obstacle	Quelqu'un entrave délibérément l'enquête.
钻研	étudier en profondeur	Elle étudie en profondeur la littérature ancienne.
钻石	diamant	La bague est sertie d'un diamant.
嘴唇	lèvre	Le vent froid a gercé ses lèvres.
罪犯	criminel	La police a arrêté le criminel en fuite.
尊严	dignité	Chaque personne doit avoir de la dignité.
遵循	suivre; respecter	Le médecin suit des normes strictes.
作弊	tricher	Tricher à l'examen entraînera une sanction.
作废	devenir invalide; annuler	L'ancien billet est déjà invalide.
