simplified	SI	example_SI
指标	ඉලක්ක දර්ශකය	අලෙවි ඉලක්ක දර්ශකය දැනටමත් සම්පූර්ණ වී ඇත.
指定	නියම කිරීම	ගුරුවරයා ඔහුට ප්‍රශ්නයට පිළිතුරු දීමට නියම කළේය.
指甲	නියපොතු	ඇය නියපොතු කෙටි කළාය.
指令	විධානය	පරිගණකයට නව විධානයක් ලැබුණි.
指南针	දිශා දර්ශකය	කඳු නගින්නා දිශා දර්ශකයක් රැගෙන ගියේය.
指示	උපදෙස්	කළමනාකරු පැහැදිලි උපදෙස් දුන්නේය.
指望	බලාපොරොත්තු තැබීම	ඔබ වෙනුවට එය අවසන් කිරීමට අන් අය මත බලාපොරොත්තු තබන්න එපා.
指责	විවේචනය කිරීම	මහජනයා සමාගම පරිසරය දූෂණය කිරීම ගැන විවේචනය කළහ.
制裁	සම්බාධක	ජාත්‍යන්තර ප්‍රජාව ආර්ථික සම්බාධක පැනවීය.
制服	නිල ඇඳුම	ආරක්ෂකයා තද නිල් නිල ඇඳුමක් ඇඳ සිටියේය.
制约	සීමා කිරීම	මුදල් හිඟය සංවර්ධනය සීමා කරයි.
制止	නතර කිරීම	පොලිසිය ගැටුම වෙලාවට නතර කළේය.
志气	අභිලාෂී ධෛර්යය	තරුණයන්ට අභිලාෂී ධෛර්යය තිබිය යුතුය.
智力	බුද්ධි ශක්තිය	ක්‍රීඩා බුද්ධි ශක්තිය පුහුණු කළ හැකිය.
智能	ස්මාර්ට් බුද්ධිමත්	ස්මාර්ට් උපකරණ තව තවත් පොදු වෙමින් පවතී.
智商	බුද්ධි අනුපාතය	බුද්ධි අනුපාතය සියල්ල තීරණය කළ නොහැක.
治安	මහජන ආරක්ෂාව	ප්‍රජාවේ මහජන ආරක්ෂාව පැහැදිලිව වැඩි දියුණු වී ඇත.
治理	කළමනාකරණය කිරීම	රජය ගංගා කළමනාකරණය ශක්තිමත් කළේය.
滞留	රැඳී සිටීමට සිදුවීම	දැඩි හිම නිසා මගීන් ගුවන් තොටුපළේ රැඳී සිටීමට සිදු විය.
致辞	කතාවක් කිරීම	විදුහල්පති උත්සවයේදී කතාවක් කළේය.
致力	කැපවීම	කණ්ඩායම තාක්ෂණ නවෝත්පාදනයට කැපවී සිටී.
致使	හේතු වීම	කළමනාකරණ වැරදි ව්‍යාපෘතිය ප්‍රමාද වීමට හේතු විය.
中断	අතරමඟ නතර වීම	තද වැස්ස සන්නිවේදනය අතරමඟ නතර වීමට හේතු විය.
中立	මධ්‍යස්ථ	එම රට මධ්‍යස්ථ ස්ථාවරයක් පවත්වා ගනී.
中央	මධ්‍යය	උල්පත චතුරශ්‍රයේ මධ්‍යයේ පිහිටා ඇත.
忠诚	විශ්වාසවන්ත	සේවකයෝ සමාගමට ඉතා විශ්වාසවන්තය.
忠实	නිතර විශ්වාසවන්ත	ඔහු මෙම පුවත්පතේ නිතර විශ්වාසවන්ත පාඨකයෙකි.
终点	අවසන් ස්ථානය	අවසන් ස්ථානය ඉදිරියෙහිම ඇත.
终究	අවසානයේ	ගැටලුව අවසානයේ විසඳෙනු ඇත.
终身	ජීවිත කාලය පුරා	ඔහු ජීවිත කාලය පුරා අධ්‍යාපනයේ වැඩ කිරීමට තීරණය කළේය.
终止	අවසන් කිරීම	ගිවිසුම ලබන මාසයේ අවසානයේ අවසන් වේ.
衷心	හදවතින්ම	ඔබේ උදව්වට මම හදවතින්ම ස්තුති කරමි.
种子	බීජ	ගොවියෝ නව බීජ වැපිරූහ.
种族	ජාතිය	නීතිය ජාතික වෙනස්කම් කිරීම තහනම් කරයි.
肿瘤	ගෙඩිය	වෛද්‍යවරයා හානිකර නොවන ගෙඩියක් සොයා ගත්තේය.
众所周知	සියලු දෙනා දන්නා පරිදි	සියලු දෙනා දන්නා පරිදි ජලය වැදගත්ය.
种植	වගා කිරීම	මෙහි මිදි වගා කිරීමට සුදුසුය.
重心	ප්‍රධාන අවධානය	වැඩේ ප්‍රධාන අවධානය සේවාවට මාරු විය.
周边	අවට	පාසල අවට ගමනාගමනය තදබදය.
周密	සවිස්තරාත්මක	ඔවුන් සවිස්තරාත්මක සැලැස්මක් සකස් කළහ.
周年	සංවත්සරය	සමාගම පිහිටුවා වසර දහයක් පිරීමේ සංවත්සරය සැමරීය.
周期	චක්‍රය	නිෂ්පාදන යාවත්කාලීන චක්‍රය කෙටි වී ඇත.
周折	සංකීර්ණ අවහිරතා	ක්‍රියාවලිය සම්පූර්ණ කිරීමේදී සංකීර්ණ අවහිරතා බොහෝ තිබුණි.
周转	මුදල් ප්‍රවාහය	සමාගමට මුදල් ප්‍රවාහය සම්බන්ධ දුෂ්කරතා ඇත.
州	ප්‍රාන්තය	ඔහු ඇමරිකාවේ කැලිෆෝනියා ප්‍රාන්තයේ ජීවත් වේ.
粥	කැඳ	රෝගියා උදෑසන කැඳ පානය කළේය.
舟	කුඩා බෝට්ටුව	කුඩා බෝට්ටුව සෙමින් වෙරළට ළඟා විය.
昼夜	දිවා රෑ	කම්කරුවෝ දිවා රෑ මාර්ගය හදිසියේ අලුත්වැඩියා කළහ.
皱纹	රැළි	ආච්චිගේ මුහුණේ රැළි බොහෝ ඇත.
株	ගසක් ගණන් කරන පදය	මිදුලේ ගස් තුනක් සිටුවා ඇත.
诸位	සියලු දෙනා	අද පැමිණීම ගැන සියලු දෙනාට ස්තුතියි.
逐年	වසරෙන් වසර	මෙහෙයුම් පිරිවැය වසරෙන් වසර ඉහළ යයි.
主办	සංවිධානය කිරීම	පාසල කලා උත්සවය සංවිධානය කළේය.
主导	නායකත්වය දීම	වෙළඳපොළ ඉල්ලුම නිෂ්පාදන සැලසුමට නායකත්වය දෙයි.
主管	භාර නිලධාරියා	භාර නිලධාරියා අයවැය අනුමත කිරීම භාරව සිටී.
主流	ප්‍රධාන ප්‍රවාහය	පරිසර අදහස් ප්‍රධාන ප්‍රවාහය වී ඇත.
主权	ස්වෛරීභාවය	ජාතික ස්වෛරීභාවයට ගෞරව කළ යුතුය.
主义	මතවාදය	ඔහු වෙනස් දේශපාලන මතවාද අධ්‍යයනය කරයි.
嘱咐	නිතර උපදෙස් දීම	අම්මා ඔහුට කුඩයක් ගන්න කියා නිතර උපදෙස් දුන්නාය.
拄	ආධාරයට තබා ඇවිදීම	වැඩිහිටියා සැරයටිය ආධාරයට තබා ඇවිදියි.
住宅	නිවාස ප්‍රදේශය	මෙම ප්‍රදේශය බොහෝ විට නිවාස ප්‍රදේශයකි.
助理	සහායකයා	සහායකයා රැස්වීම් ද්‍රව්‍ය සකස් කළේය.
