simplified	HI	example_HI	BN	example_BN	TL	example_TL
重	भारी	यह बक्सा बहुत भारी है।	ভারী	এই বাক্সটি খুব ভারী।	mabigat	Napakabigat ng kahong ito.
重点	मुख्य बात; केंद्र बिंदु	अभी उसने जो कहा, वही समस्या की मुख्य बात है।	মূল বিষয়; গুরুত্বের স্থান	সে একটু আগে যা বলেছে, সেটাই সমস্যার মূল বিষয়।	pangunahing punto	Iyon ang pangunahing punto ng problema na sinabi niya kanina.
重视	महत्व देना	माता-पिता बच्चों की शिक्षा को बहुत महत्व देते हैं।	গুরুত্ব দেওয়া	মা-বাবা সন্তানের শিক্ষাকে খুব গুরুত্ব দেন।	pahalagahan	Pinahahalagahan ng mga magulang ang edukasyon ng mga anak.
周围	आस-पास; चारों ओर	स्कूल के आस-पास बहुत-सी दुकानें हैं।	চারপাশ; আশপাশ	স্কুলের আশপাশে অনেক দোকান আছে।	paligid	Maraming tindahan sa paligid ng paaralan.
主意	विचार; तरकीब	तुम्हारे पास कोई अच्छा विचार है तो बताओ।	বুদ্ধি; ধারণা	তোমার কোনো ভালো বুদ্ধি থাকলে বলো শুনি।	ideya; plano	Kung may maganda kang ideya, sabihin mo.
祝贺	बधाई देना; बधाई	अच्छे परिणाम पाने पर तुम्हें बधाई।	অভিনন্দন জানানো; অভিনন্দন	ভালো ফল পাওয়ার জন্য তোমাদের অভিনন্দন।	batiin; pagbati	Binabati ko kayo sa magandang resulta.
著名	प्रसिद्ध; मशहूर	वह एक प्रसिद्ध अभिनेता है।	বিখ্যাত	সে একজন বিখ্যাত অভিনেতা।	kilala; tanyag	Isang tanyag na artista siya.
专门	खास तौर पर; विशेष रूप से	मैं खास तौर पर तुम्हें देखने आया हूँ।	বিশেষভাবে	আমি বিশেষভাবে তোমাকে দেখতে এসেছি।	sadya; espesyal	Sadya akong pumunta para makita ka.
专业	विषय; विशेषज्ञता	मैं विश्वविद्यालय में क़ानून विषय पढ़ रहा हूँ।	বিষয়; বিশেষায়িত ক্ষেত্র	আমি বিশ্ববিদ্যালয়ে আইন বিষয়ে পড়ছি।	larangan; pangunahing kurso	Nag-aaral ako ng larangan ng batas sa unibersidad.
转	मुड़ना; घुमाना	आगे पहले चौराहे पर बाएँ मुड़ो, फिर अस्पताल दिख जाएगा।	ঘোরা; মোড় নেওয়া	সামনের প্রথম মোড়ে বাঁ দিকে ঘুরলে হাসপাতাল দেখতে পাবে।	lumiko	Lumiko ka sa kaliwa sa unang kanto sa unahan at makikita mo ang ospital.
赚	कमाना; मुनाफ़ा कमाना	उसने व्यापार से काफ़ी पैसा कमाया।	উপার্জন করা; লাভ করা	সে ব্যবসা করে বেশ অনেক টাকা উপার্জন করেছে।	kumita	Kumita siya ng malaking halaga sa negosyo.
准确	सटीक; ठीक	तुम्हारा उत्तर बहुत सटीक है।	নির্ভুল; সঠিক	তোমার উত্তর খুব নির্ভুল।	tumpak	Napakatumpak ng sagot mo.
准时	समय पर; पाबंद	बैठक समय पर शुरू हुई।	সময়মতো	সভা সময়মতো শুরু হয়েছে।	nasa oras	Nagsimula ang pulong sa oras.
仔细	सावधान; ध्यान से	वह काम बहुत सावधानी से करती है।	সাবধান; মনোযোগী	সে কাজ খুব সাবধানে করে।	maingat	Lubos siyang maingat sa paggawa ng trabaho.
自然	प्रकृति; प्राकृतिक	हमें प्राकृतिक पर्यावरण की रक्षा करनी चाहिए।	প্রকৃতি; প্রাকৃতিক	আমাদের প্রাকৃতিক পরিবেশ রক্ষা করতে হবে।	kalikasan; likas	Kailangan nating protektahan ang likas na kapaligiran.
自信	आत्मविश्वास	वह बहुत आत्मविश्वासी है और दूसरों से प्रतिस्पर्धा करना पसंद करता है।	আত্মবিশ্বাস	সে খুব আত্মবিশ্বাসী এবং অন্যদের সঙ্গে প্রতিযোগিতা করতে ভালোবাসে।	tiwala sa sarili	Tiwala siya sa sarili at mahilig makipagkumpetensiya sa iba.
总结	सारांश देना; निष्कर्ष निकालना	कृपया हमारे लिए अपने सफल अनुभव का सार बताइए।	সারসংক্ষেপ করা; সারাংশ	দয়া করে আপনার সফল অভিজ্ঞতার সারসংক্ষেপ আমাদের জন্য দিন।	buodin; buod	Pakibuod para sa amin ang matagumpay ninyong karanasan.
租	किराए पर लेना	मैंने कंपनी के पास एक घर किराए पर लिया।	ভাড়া নেওয়া	আমি কোম্পানির কাছে একটি বাড়ি ভাড়া নিয়েছি।	umupa	Umupa ako ng bahay malapit sa kompanya.
